model,contaminated,n_runs,prepost_H_adj_mean,ci_low,ci_high
gpt-4o-mini,False,3,0.10565022848508947,0.0055408693023467,0.2163964461539375
gpt-4o-mini,True,17,0.06147910295212366,0.00708719246617131,0.12103241354667177
llama-3.3-70b,True,19,0.033150419041440206,0.015593170049180512,0.05155172102066686
qwen3-235b,True,20,0.07918353437050965,0.03927888073331913,0.11732833691066588
