model,condition,coverage_mean,frac_cov_lt_0_99
gpt-4o-mini,base,0.9981593295097929,0.01639977779387967
gpt-4o-mini,placebo,0.9985789405277459,0.013883305191498486
gpt-4o-mini,switch,0.9978654878850166,0.01689602040274162
llama-3.3-70b,base,0.999657757241856,0.0076332189960867675
llama-3.3-70b,placebo,0.9995824628861743,0.010876658690450293
llama-3.3-70b,switch,0.9995653847278761,0.010273159144893112
qwen3-235b,base,0.9997669229662287,0.004231400783124921
qwen3-235b,placebo,0.9996893823401964,0.003706343549536707
qwen3-235b,switch,0.9997548954718947,0.0035872998875622424
