model,n,same_sign,dI_pos,dH_pos,frac_same_sign,dI_comm_mean,ci_low,ci_high
gpt-4o-mini,20,6,9,9,0.3,0.02383226544455186,-0.09228937052565417,0.14309152771438083
llama-3.3-70b,19,9,11,5,0.47368421052631576,0.008381463792650017,-0.005317879224497824,0.024456949676491025
qwen3-235b,20,9,7,12,0.45,-0.00017239558783495312,-0.24553114693997194,0.25326828661814926
all,59,24,27,26,0.4067796610169492,,,
