model,condition,seed,turn,agent,pos,H_lower_bits,H_lower_re,H_renorm_bits,H_renorm_re,coverage,coverage_re,k
qwen3-235b,base,1,4,A1,39,3.378888266633346e-05,2.8330030315632565e-06,3.378888266633346e-05,2.990898635239976e-06,1.0,1.0000001094451134,18
qwen3-235b,base,1,4,A1,48,5.2379980950004015e-06,1.1104321879320352e-06,5.2379980950004015e-06,1.168608135582135e-06,1.0,1.000000040324526,20
qwen3-235b,base,1,4,A1,59,0.0001630026278262,2.397657348599645e-06,0.0001630026278262,2.5365957220153295e-06,1.0,1.0000000963049065,20
qwen3-235b,base,1,5,A2,4,0.4312112097373458,0.4311950436398533,0.4312112097373458,0.43053727232447303,1.0,0.999349828324928,20
qwen3-235b,base,1,5,A2,5,0.4509692486324707,0.4311950436398533,0.4509692486324707,0.43053727232447303,1.0,0.999349828324928,20
qwen3-235b,base,1,5,A2,10,0.5833467829681934,0.05262068636488882,0.5833467829681934,0.05261634084176806,1.0,0.9999968738962981,20
qwen3-235b,base,1,5,A2,17,2.4513753878374458e-05,1.0067428032139714e-05,2.4513753878374458e-05,1.0109289131592697e-05,1.0,1.000000029016106,20
qwen3-235b,base,1,5,A2,18,1.1959233398776434e-05,1.0067428032139714e-05,1.1959233398776434e-05,1.0109289131592697e-05,1.0,1.000000029016106,20
qwen3-235b,base,1,5,A2,28,2.3154875162385314e-06,1.1116104568390434e-06,2.3154875162385314e-06,1.1696544663025619e-06,1.0,1.0000000402330733,20
qwen3-235b,base,1,5,A2,43,0.1625150953521393,4.334511461385011e-05,0.1625150953521393,4.32043231726965e-05,1.0,0.9999999024078822,20
