model,tokens,pearson_token,spearman_token,mean_H_lower,mean_H_renorm,mean_abs_diff,coverage_mean,coverage_p01,coverage_p05,coverage_median,frac_cov_lt_0_99,frac_cov_lt_0_9,frac_sampled_outside_topk,pearson_call_mean,spearman_call_mean
gpt-4o-mini,116356,0.9959251182569792,0.9999981880275502,0.26556433001159546,0.2694883918142275,0.004036413223164052,0.9981988231349691,0.9764611873256352,0.9989702674570333,0.9999999595818179,0.01575337756540273,0.005208154285124961,,0.9962060716262353,0.9999310816935271
llama-3.3-70b,60524,0.9999544455523459,0.9999991951351045,0.3489618190453742,0.34931283255293316,0.00041857459732726307,0.9996034615260943,0.9904598542551079,0.999107966792573,0.9999999526193392,0.009599497719912762,0.00011565659903509352,,0.999993456559218,0.9999956757764972
qwen3-235b,55556,0.9998104404376736,0.9999982707234488,0.15271410792385393,0.15288798913044663,0.00021851739370562972,0.9997335065938022,0.9981353966177083,0.9999179807267925,1.0,0.0038159694722442222,0.0009179926560587516,,0.9999494959718619,0.9999936232687423
