model,condition,segment,target,candidate,k,n,rss,aic,bic,loso_mse,range_ok
gpt-4o-mini,switch,full,y_adj,spline,4,869,158.7905675697054,-1469.0888124847843,-1450.0194399837228,0.18458108404512197,
gpt-4o-mini,switch,full,y_adj,zhu,6,869,156.34041372899395,-1478.6020924816978,-1449.9980337301054,0.18417341924420946,
gpt-4o-mini,switch,post,y_raw,constant,1,589,103.99298085291773,-1019.3865365875993,-1015.0081104039476,0.17768649655091878,True
gpt-4o-mini,switch,post,y_raw,linear,2,589,103.88389818337876,-1018.0046880487291,-1009.247835681426,0.17808724497765138,True
gpt-4o-mini,switch,post,y_raw,log,2,589,103.93683516562288,-1017.7046228654946,-1008.9477704981914,0.17829062010803234,True
gpt-4o-mini,switch,post,y_raw,spline,4,589,103.44844691656985,-1016.4787947603179,-998.9650900257116,0.17819225644699244,True
gpt-4o-mini,switch,post,y_raw,zhu,6,589,102.91092653619735,-1015.547230322742,-989.2766732208325,0.18079062301463528,True
gpt-4o-mini,switch,post,y_adj,constant,1,589,103.39392108065934,-1022.7893280268449,-1018.4109018431933,0.1766691181996316,
gpt-4o-mini,switch,post,y_adj,linear,2,589,103.28660498862203,-1021.4009887874658,-1012.6441364201627,0.17703976180017617,
gpt-4o-mini,switch,post,y_adj,log,2,589,103.34041979312704,-1021.0941855452122,-1012.337333177909,0.1772461398655743,
gpt-4o-mini,switch,post,y_adj,spline,4,589,102.83831640497553,-1019.9629535444051,-1002.4492488097987,0.17710742273962726,
gpt-4o-mini,switch,post,y_adj,zhu,6,589,102.18335776805556,-1019.7261844420059,-993.4556273400964,0.17922348976693167,
llama-3.3-70b,base,full,y_raw,constant,1,1174,48.78406993390589,-3732.221839329943,-3727.153667329555,0.041619280746630294,True
llama-3.3-70b,base,full,y_raw,linear,2,1174,48.78401997802582,-3730.2230415304425,-3720.0866975296663,0.041652533887759975,True
llama-3.3-70b,base,full,y_raw,log,2,1174,48.725524476015444,-3731.631595492676,-3721.4952514918996,0.04159684762563769,True
llama-3.3-70b,base,full,y_raw,spline,4,1174,47.92111232820682,-3747.17498988961,-3726.902301888058,0.04096691330799292,True
llama-3.3-70b,base,full,y_raw,zhu,6,1174,34.44104724568599,-4130.955500402294,-4100.546468399966,0.03001747039804202,False
llama-3.3-70b,base,full,y_adj,constant,1,1174,14.253252689534648,-5176.733374585977,-5171.665202585589,0.012187113340983434,
llama-3.3-70b,base,full,y_adj,linear,2,1174,14.25210679468638,-5174.82776248895,-5164.691418488173,0.012209780340829915,
llama-3.3-70b,base,full,y_adj,log,2,1174,14.24763475735012,-5175.196198944155,-5165.059854943379,0.012200826407699643,
llama-3.3-70b,base,full,y_adj,spline,4,1174,13.971256935164138,-5194.1934124493555,-5173.920724447803,0.012014881761775552,
llama-3.3-70b,base,full,y_adj,zhu,6,1174,13.535477940847297,-5227.395017833152,-5196.985985830825,0.01163251617419911,
llama-3.3-70b,base,post,y_raw,constant,1,896,36.96338091648588,-2854.459375053209,-2849.661434640234,0.04134961140994211,True
llama-3.3-70b,base,post,y_raw,linear,2,896,36.791809629995626,-2856.6279806482294,-2847.0320998222796,0.041200300017654234,True
llama-3.3-70b,base,post,y_raw,log,2,896,36.73079340856787,-2858.1151572358613,-2848.5192764099115,0.04113410168628944,True
llama-3.3-70b,base,post,y_raw,spline,4,896,36.582396969426696,-2857.7424278641292,-2838.5506662122293,0.04102615926500614,True
llama-3.3-70b,base,post,y_raw,zhu,6,896,30.371802137809922,-3020.445513458054,-2991.6578709802043,0.03480049643462712,True
llama-3.3-70b,base,post,y_adj,constant,1,896,10.634419728424179,-3970.7246973154033,-3965.926756902428,0.011930623024991331,
llama-3.3-70b,base,post,y_adj,linear,2,896,10.620099840723409,-3969.9320284225114,-3960.3361475965617,0.011951065635300514,
llama-3.3-70b,base,post,y_adj,log,2,896,10.615861568447379,-3970.289675711144,-3960.693794885194,0.011947271419143715,
llama-3.3-70b,base,post,y_adj,spline,4,896,10.51814676685578,-3974.575192091124,-3955.383430439224,0.011882330276560726,
llama-3.3-70b,base,post,y_adj,zhu,6,896,10.534024168091216,-3969.2236778697898,-3940.43603539194,0.011940647696380475,
