model,align,role,metric,n_events,post_minus_pre,ci_low,ci_high,n_pos
qwen3-235b,tau_use,receiver,mean_surprisal_bits,15,-0.11070209011790241,-0.19700859772320364,-0.026974127836965713,5
gpt-4o-mini,tau_placebo_read,receiver-author,y_raw,25,-0.16330009536246382,-0.34911886217381694,0.011833680539573175,8
gpt-4o-mini,tau_placebo_read,receiver-author,y_adj,25,-0.07575623647265971,-0.2480690489758431,0.0826238204970457,12
gpt-4o-mini,tau_placebo_read,receiver-author,mean_surprisal_bits,25,-0.1876950441169939,-0.4210092124286514,0.03893239155206206,10
gpt-4o-mini,tau_read,receiver-author,y_raw,28,-0.013866993111351724,-0.1698730891977979,0.1359114727525799,13
gpt-4o-mini,tau_read,receiver-author,y_adj,28,0.02307761690127008,-0.11930130592054469,0.1605879814493801,14
gpt-4o-mini,tau_read,receiver-author,mean_surprisal_bits,28,0.060682720239079786,-0.17624728299087308,0.29678703426825387,14
gpt-4o-mini,tau_use,receiver-author,y_raw,11,0.16170828923216196,-0.05323170319890276,0.4156951105490046,5
gpt-4o-mini,tau_use,receiver-author,y_adj,11,0.16892888395034275,-0.04626932391842574,0.42343563897471653,5
gpt-4o-mini,tau_use,receiver-author,mean_surprisal_bits,11,0.2322125633462875,-0.11869281169973368,0.6387942109667855,5
llama-3.3-70b,tau_placebo_read,receiver-author,y_raw,38,0.025015212617134675,-0.03452998065669729,0.08427832595392391,20
llama-3.3-70b,tau_placebo_read,receiver-author,y_adj,38,0.008434933823759892,-0.04010950259566589,0.05793714832310144,19
llama-3.3-70b,tau_placebo_read,receiver-author,mean_surprisal_bits,38,0.00857630938365518,-0.06901307870392685,0.08516539142237896,19
llama-3.3-70b,tau_read,receiver-author,y_raw,40,-3.195948795559345e-05,-0.04138467401608454,0.04238112491956995,20
llama-3.3-70b,tau_read,receiver-author,y_adj,40,-0.005427934701898185,-0.04940729058430942,0.03781809415069722,20
llama-3.3-70b,tau_read,receiver-author,mean_surprisal_bits,40,-0.00596574940794632,-0.07335853319602813,0.060435337361929686,20
llama-3.3-70b,tau_use,receiver-author,y_raw,36,0.011866646704443318,-0.026513106020392377,0.052243756570419915,18
llama-3.3-70b,tau_use,receiver-author,y_adj,36,-0.02612990821343321,-0.05782149039565593,0.0077323860076371105,12
llama-3.3-70b,tau_use,receiver-author,mean_surprisal_bits,36,0.02019871518139847,-0.0362408026563945,0.07603767408198783,19
qwen3-235b,tau_placebo_read,receiver-author,y_raw,38,0.014598222796698937,-0.08838566225699436,0.11821821648420237,20
qwen3-235b,tau_placebo_read,receiver-author,y_adj,38,0.023142594644265265,-0.05908316655950843,0.10906539686645514,18
qwen3-235b,tau_placebo_read,receiver-author,mean_surprisal_bits,38,0.000999066398177649,-0.09876540872018369,0.10053062867398405,20
qwen3-235b,tau_read,receiver-author,y_raw,34,0.057597756970944686,-0.04406442430864992,0.158481871774727,19
qwen3-235b,tau_read,receiver-author,y_adj,34,0.05765003738461525,-0.035930994587819814,0.150686906040692,19
qwen3-235b,tau_read,receiver-author,mean_surprisal_bits,34,0.01893274879428428,-0.058854460367910054,0.09953595209677576,18
qwen3-235b,tau_use,receiver-author,y_raw,11,0.010573172964858303,-0.15415320966657775,0.15764087638465551,8
qwen3-235b,tau_use,receiver-author,y_adj,11,0.03055655633115436,-0.10688322095407339,0.1709294364343756,6
qwen3-235b,tau_use,receiver-author,mean_surprisal_bits,11,0.029855490894911577,-0.0828732700905647,0.15184961150878998,6
