model,signal,detector,far_target,n_switch_verified,TPR,P_alarm_before_tau_use,FAR_base,FAR_placebo,FAR_base_trunc,FAR_placebo_trunc,lead_use_median,lead_use_mean,lead_read_median,n_leads,AUROC,AUROC_h10,scheme,TPR_split_mean,TPR_split_p05,TPR_split_p95,FAR_null_split_mean,FAR_placebo_split_mean,AUROC_split_mean,AUROC_ci_low,AUROC_ci_high,crit4_alarm_before_use_gt_FAR
llama-3.3-70b,Hq,ph,0.05,20.0,0.0,0.0,0.05,0.10526315789473684,0.0,0.0,,,,0.0,0.3192307692307692,0.4653846153846154,LOSO,0.01,0.0,0.1,0.04800000000000001,0.12311111111111112,0.32158684210526317,0.17807692307692308,0.4641025641025641,False
llama-3.3-70b,Hq,ph,0.1,20.0,0.05,0.0,0.05,0.2631578947368421,0.0,0.05263157894736842,-14.0,-14.0,-18.0,1.0,0.3192307692307692,0.4653846153846154,LOSO,0.057999999999999996,0.0,0.2549999999999997,0.08800000000000001,0.22044444444444444,0.3305157894736842,0.17807692307692308,0.4641025641025641,False
llama-3.3-70b,JS,cusum,0.05,20.0,0.0,0.0,0.1,0.05263157894736842,0.05,0.05263157894736842,,,,0.0,0.35512820512820514,0.48333333333333334,LOSO,0.0,0.0,0.0,0.11800000000000001,0.06044444444444444,0.3489394736842105,0.24098684210526317,0.4693124999999999,False
llama-3.3-70b,JS,cusum,0.1,20.0,0.0,0.0,0.15,0.05263157894736842,0.1,0.05263157894736842,,,,0.0,0.35512820512820514,0.48333333333333334,LOSO,0.006000000000000001,0.0,0.054999999999999716,0.22,0.05622222222222223,0.3365631578947369,0.24098684210526317,0.4693124999999999,False
llama-3.3-70b,JS,ph,0.05,20.0,0.0,0.0,0.1,0.05263157894736842,0.05,0.05263157894736842,,,,0.0,0.35512820512820514,0.48333333333333334,LOSO,0.0,0.0,0.0,0.10800000000000001,0.044222222222222225,0.3583578947368421,0.2374599358974359,0.4692628205128205,False
llama-3.3-70b,JS,ph,0.1,20.0,0.0,0.0,0.15,0.05263157894736842,0.1,0.05263157894736842,,,,0.0,0.35512820512820514,0.48333333333333334,LOSO,0.008,0.0,0.1,0.218,0.04977777777777778,0.3475421052631579,0.2374599358974359,0.4692628205128205,False
llama-3.3-70b,S,cusum,0.05,20.0,0.0,0.0,0.15,0.0,0.1,0.0,,,,0.0,0.5269230769230769,0.6051282051282051,LOSO,0.038000000000000006,0.0,0.2,0.126,0.0044444444444444444,0.5243263157894738,0.35,0.68625,False
llama-3.3-70b,S,cusum,0.1,20.0,0.15,0.0,0.25,0.0,0.25,0.0,-6.0,-4.666666666666667,-8.0,3.0,0.5269230769230769,0.6051282051282051,LOSO,0.138,0.0,0.4,0.23199999999999998,0.06044444444444444,0.5217052631578948,0.35,0.68625,False
llama-3.3-70b,S,ph,0.05,20.0,0.0,0.0,0.15,0.0,0.1,0.0,,,,0.0,0.5269230769230769,0.6051282051282051,LOSO,0.062,0.0,0.2,0.172,0.022222222222222223,0.5037052631578948,0.3565158250355619,0.680125,False
llama-3.3-70b,S,ph,0.1,20.0,0.15,0.0,0.25,0.0,0.25,0.0,-6.0,-4.666666666666667,-8.0,3.0,0.5269230769230769,0.6051282051282051,LOSO,0.14400000000000002,0.0,0.3,0.24,0.035111111111111114,0.48856842105263154,0.3565158250355619,0.680125,False
qwen3-235b,H,cusum,0.05,19.0,0.10526315789473684,0.0,0.1,0.05,0.0,0.0,-5.5,-5.5,-9.0,2.0,0.30375,0.34625,LOSO,0.106,0.0,0.2222222222222222,0.128,0.036000000000000004,0.3013,0.14746874999999998,0.4725,False
qwen3-235b,H,cusum,0.1,19.0,0.10526315789473684,0.0,0.2,0.05,0.0,0.05,-4.0,-4.0,-7.5,2.0,0.30375,0.34625,LOSO,0.11622222222222221,0.0,0.2222222222222222,0.20800000000000002,0.07,0.3023,0.14746874999999998,0.4725,False
qwen3-235b,H,ph,0.05,19.0,0.10526315789473684,0.0,0.1,0.05,0.0,0.0,-5.5,-5.5,-9.0,2.0,0.30375,0.34625,LOSO,0.124,0.0,0.2222222222222222,0.156,0.04,0.32549999999999996,0.14625,0.47006249999999994,False
qwen3-235b,H,ph,0.1,19.0,0.10526315789473684,0.0,0.2,0.05,0.0,0.05,-4.0,-4.0,-7.5,2.0,0.30375,0.34625,LOSO,0.11088888888888888,0.0,0.2222222222222222,0.21,0.086,0.3116,0.14625,0.47006249999999994,False
qwen3-235b,Hq,cusum,0.05,19.0,0.10526315789473684,0.0,0.1,0.05,0.0,0.0,-4.0,-4.0,-7.5,2.0,0.44125,0.49375,LOSO,0.10422222222222223,0.0,0.21222222222222215,0.054000000000000006,0.024000000000000004,0.462,0.2775,0.60875,False
qwen3-235b,Hq,cusum,0.1,19.0,0.10526315789473684,0.0,0.1,0.15,0.0,0.05,-4.0,-4.0,-7.5,2.0,0.44125,0.49375,LOSO,0.168,0.0,0.3333333333333333,0.11200000000000002,0.18600000000000003,0.4557,0.2775,0.60875,False
qwen3-235b,Hq,ph,0.05,19.0,0.10526315789473684,0.0,0.1,0.05,0.0,0.0,-4.0,-4.0,-7.5,2.0,0.44125,0.49375,LOSO,0.09644444444444444,0.0,0.21222222222222215,0.066,0.046000000000000006,0.4278,0.2786875,0.61875,False
qwen3-235b,Hq,ph,0.1,19.0,0.10526315789473684,0.0,0.1,0.15,0.0,0.05,-4.0,-4.0,-7.5,2.0,0.44125,0.49375,LOSO,0.14400000000000002,0.0,0.3333333333333333,0.098,0.14200000000000002,0.4456,0.2786875,0.61875,False
qwen3-235b,JS,cusum,0.05,19.0,0.05263157894736842,0.05263157894736842,0.05,0.05,0.0,0.05,1.0,1.0,-4.0,1.0,0.5294117647058824,0.5595776772247361,LOSO,0.0631111111111111,0.0,0.2,0.114,0.07400000000000001,0.5297302631578947,0.353328125,0.6944661458333333,True
qwen3-235b,JS,cusum,0.1,19.0,0.05263157894736842,0.05263157894736842,0.15,0.1,0.0,0.1,3.0,3.0,-2.0,1.0,0.5294117647058824,0.5595776772247361,LOSO,0.09311111111111112,0.0,0.2649999999999998,0.166,0.10800000000000001,0.5388001253132831,0.353328125,0.6944661458333333,False
qwen3-235b,JS,ph,0.05,19.0,0.05263157894736842,0.05263157894736842,0.05,0.05,0.0,0.05,1.0,1.0,-4.0,1.0,0.5294117647058824,0.5595776772247361,LOSO,0.07555555555555556,0.0,0.21222222222222215,0.11800000000000001,0.086,0.5171762322472848,0.35550607287449393,0.6982174504417151,True
qwen3-235b,JS,ph,0.1,19.0,0.05263157894736842,0.05263157894736842,0.15,0.1,0.0,0.1,3.0,3.0,-2.0,1.0,0.5294117647058824,0.5595776772247361,LOSO,0.0911111111111111,0.0,0.2222222222222222,0.14,0.114,0.5424428571428571,0.35550607287449393,0.6982174504417151,False
qwen3-235b,S,cusum,0.05,19.0,0.05263157894736842,0.0,0.1,0.05,0.05,0.0,0.0,0.0,-4.0,1.0,0.42125,0.51125,LOSO,0.050222222222222224,0.0,0.1111111111111111,0.094,0.064,0.4194,0.26109375,0.595,False
qwen3-235b,S,cusum,0.1,19.0,0.05263157894736842,0.05263157894736842,0.1,0.1,0.05,0.0,1.0,1.0,-3.0,1.0,0.42125,0.51125,LOSO,0.07377777777777778,0.0,0.1111111111111111,0.15,0.12,0.4328,0.26109375,0.595,False
qwen3-235b,S,ph,0.05,19.0,0.05263157894736842,0.0,0.1,0.05,0.05,0.0,0.0,0.0,-4.0,1.0,0.42125,0.51125,LOSO,0.06133333333333333,0.0,0.1111111111111111,0.08800000000000001,0.05600000000000001,0.4229,0.24871875,0.59128125,False
qwen3-235b,S,ph,0.1,19.0,0.05263157894736842,0.05263157894736842,0.1,0.1,0.05,0.0,1.0,1.0,-3.0,1.0,0.42125,0.51125,LOSO,0.05888888888888889,0.0,0.1111111111111111,0.134,0.128,0.4105,0.24871875,0.59128125,False
gpt-4o-mini,oracle_channel_read+0,oracle,0.0,20.0,1.0,1.0,0.0,0.0,,,1.0,4.25,0.0,20.0,1.0,,all,,,,,,,,,True
gpt-4o-mini,oracle_channel_read+1,oracle,0.0,20.0,1.0,0.35,0.0,0.0,,,0.0,3.25,-1.0,20.0,1.0,,all,,,,,,,,,True
llama-3.3-70b,oracle_channel_read+0,oracle,0.0,20.0,1.0,1.0,0.0,0.0,,,3.0,3.05,0.0,20.0,1.0,,all,,,,,,,,,True
llama-3.3-70b,oracle_channel_read+1,oracle,0.0,20.0,1.0,0.6,0.0,0.0,,,2.0,2.05,-1.0,20.0,1.0,,all,,,,,,,,,True
qwen3-235b,oracle_channel_read+0,oracle,0.0,19.0,1.0,1.0,0.0,0.0,,,2.0,2.5789473684210527,0.0,19.0,1.0,,all,,,,,,,,,True
qwen3-235b,oracle_channel_read+1,oracle,0.0,19.0,1.0,0.5789473684210527,0.0,0.0,,,1.0,1.5789473684210527,-1.0,19.0,1.0,,all,,,,,,,,,True
