model,spec,metric,estimator,n_obs,term,est,se,ci_low,ci_high,p,converged,p_bh_DiD_SP_OLS,sensitivity,p_bh_family_its_DiD_SP
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope P,-0.025030617581267,0.0027052224788204,-0.0306927133019643,-0.0193685218605697,1.8113592605716025e-08,,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope B,-0.0199355386757617,0.003056635970972,-0.026333151288576,-0.0135379260629474,3.016877512329636e-06,,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope DiD S-P,0.0040649718187929,0.0022379889600637,-0.0006191929081207,0.0087491365457065,0.0851289105515579,,0.7149516993463366,primary (s04),0.7943576428781005
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope DiD S-B,-0.0010301070867123,0.0033963538376952,-0.0081387573662904,0.0060785431928657,0.7649588321732991,,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope DiD P-B,-0.0050950789055052,0.0030192759954429,-0.0114144961908649,0.0012243383798543,0.1078522998184299,,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level S,-0.0211771031664108,0.0165137938204242,-0.0535435443025624,0.0111893379697407,0.1997063139424219,False,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level P,-0.0302830015007905,0.0167758334531615,-0.0631630308796294,0.0025970278780483,0.0710502265775623,False,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level B,-0.0663511849237476,0.0161418479206748,-0.097988625492193,-0.0347137443553021,3.9479067012155705e-05,False,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level DiD S-P,0.0091058983343796,0.0231594037396679,-0.0362856988987917,0.054497495567551,0.6941838625597769,False,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level DiD S-B,0.0451740817573367,0.0227397261849799,0.0006050374164736,0.0897431260981998,0.0469699518609122,False,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level DiD P-B,0.036068183422957,0.0228937649211667,-0.0088027712930562,0.0809391381389703,0.1151505810627294,False,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,slope S,-0.0211493643609885,0.0034490831447635,-0.0279094431044092,-0.0143892856175678,8.684653854435957e-10,False,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,slope P,-0.0253265954741841,0.0035135801767927,-0.0322130860774918,-0.0184401048708764,5.669550607094138e-13,False,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,slope B,-0.0199264335270649,0.0033858877603253,-0.0265626515929975,-0.0132902154611323,3.977100603668456e-09,False,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,slope DiD S-P,0.0041772311131955,0.0047232450574237,-0.0050801590895117,0.0134346213159029,0.3764811016548841,False,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,slope DiD S-B,-0.0012229308339235,0.004624824908122,-0.0102874210886466,0.0078415594207994,0.7914505325496036,False,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,slope DiD P-B,-0.0054001619471191,0.0046746933093476,-0.0145623924722109,0.0037620685779725,0.2480123676106691,False,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,level S,-0.0594145578879913,0.0352868867049286,-0.1332708605665878,0.0144417447906051,0.1085869448181889,,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,level P,-0.019447391373678,0.0334218306987377,-0.0894000869684982,0.0505053042211421,0.5674902614659237,,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,level B,-0.0662837264175252,0.0381071580590539,-0.1460429248802645,0.013475472045214,0.0981395154522122,,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,level DiD S-P,-0.0399671665143133,0.0495793901361599,-0.14373802267219,0.0638036896435634,0.4301457159556165,,0.7149516993463366,primary (s04),0.7943576428781005
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,level DiD S-B,0.0068691685295338,0.0430478846454342,-0.0832310895247541,0.0969694265838218,0.874903594811122,,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,level DiD P-B,0.0468363350438471,0.054433854729473,-0.0670950322791073,0.1607677023668016,0.4002814706754795,,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,slope S,-0.0279256122802943,0.005724901411272,-0.0399079686432028,-0.0159432559173858,0.0001044796463404,,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,slope P,-0.0232846732700627,0.0065460922734951,-0.0369858018608644,-0.009583544679261,0.0021043279189354,,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,slope B,-0.0161758677606742,0.0073917218114353,-0.031646919315503,-0.0007048162058454,0.0413376645728391,,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,slope DiD S-P,-0.0046409390102316,0.0061407096108637,-0.0174935919369058,0.0082117139164425,0.4590575489814296,,0.7149516993463366,primary (s04),0.7943576428781005
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,slope DiD S-B,-0.0117497445196201,0.007773961575969,-0.0280208330961692,0.004521344056929,0.1471347829382337,,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,slope DiD P-B,-0.0071088055093884,0.0085512679764337,-0.0250068150797556,0.0107892040609787,0.4161207351847671,,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,level S,-0.0720645574575119,0.0275614375087074,-0.1260839823367298,-0.018045132578294,0.0089309018707235,True,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,level P,-0.0287849437222557,0.0276841402163246,-0.083044861489209,0.0254749740446975,0.2984500391517728,True,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,level B,-0.0670542161806901,0.0251802998746704,-0.1164066970549626,-0.0177017353064176,0.0077455845499029,True,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,level DiD S-P,-0.0432796137352562,0.0381128229768594,-0.1179793741190513,0.0314201466485389,0.2561383792184465,True,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,level DiD S-B,-0.0050103412768218,0.0367305292975851,-0.077000855833182,0.0669801732795384,0.891498680056341,True,,primary (s04),
