model,spec,metric,estimator,n_obs,term,est,se,ci_low,ci_high,p,converged,p_bh_DiD_SP_OLS
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope DiD S-P,0.0040649718187929056,0.002237988960063725,-0.0006191929081207064,0.008749136545706518,0.08512891055155794,,0.7149516993463366
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope DiD S-B,-0.0010301070867123757,0.003396353837695231,-0.008138757366290467,0.006078543192865715,0.7649588321732991,,
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope DiD P-B,-0.005095078905505281,0.003019275995442932,-0.01141449619086493,0.0012243383798543669,0.10785229981842992,,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level S,-0.021177103166410877,0.016513793820424227,-0.053543544302562474,0.011189337969740715,0.1997063139424219,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level P,-0.030283001500790545,0.016775833453161557,-0.0631630308796294,0.0025970278780483164,0.07105022657756234,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level B,-0.06635118492374761,0.016141847920674832,-0.09798862549219305,-0.03471374435530218,3.9479067012155705e-05,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level DiD S-P,0.009105898334379667,0.023159403739667923,-0.0362856988987917,0.05449749556755104,0.6941838625597769,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level DiD S-B,0.04517408175733674,0.02273972618497995,0.0006050374164736361,0.08974312609819984,0.04696995186091224,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level DiD P-B,0.03606818342295707,0.022893764921166754,-0.00880277129305624,0.08093913813897038,0.11515058106272948,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,slope S,-0.021149364360988552,0.0034490831447635244,-0.02790944310440921,-0.014389285617567894,8.684653854435958e-10,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,slope P,-0.025326595474184144,0.0035135801767927715,-0.03221308607749185,-0.018440104870876436,5.669550607094138e-13,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,slope B,-0.019926433527064955,0.0033858877603253315,-0.02656265159299759,-0.013290215461132317,3.977100603668456e-09,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,slope DiD S-P,0.004177231113195592,0.004723245057423719,-0.0050801590895117165,0.0134346213159029,0.37648110165488413,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,slope DiD S-B,-0.0012229308339235974,0.004624824908122086,-0.01028742108864665,0.007841559420799456,0.7914505325496036,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,slope DiD P-B,-0.005400161947119189,0.004674693309347635,-0.014562392472210911,0.003762068577972533,0.24801236761066914,False,
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,level S,-0.05941455788799137,0.03528688670492869,-0.13327086056658785,0.014441744790605116,0.10858694481818897,,
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,level P,-0.019447391373678062,0.03342183069873776,-0.08940008696849824,0.050505304221142126,0.5674902614659237,,
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,level B,-0.06628372641752521,0.038107158059053924,-0.1460429248802645,0.013475472045214085,0.09813951545221221,,
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,level DiD S-P,-0.039967166514313306,0.04957939013615991,-0.14373802267219002,0.06380368964356342,0.43014571595561657,,0.7149516993463366
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,level DiD S-B,0.006869168529533842,0.043047884645434256,-0.08323108952475415,0.09696942658382184,0.874903594811122,,
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,level DiD P-B,0.04683633504384715,0.05443385472947303,-0.06709503227910737,0.16076770236680168,0.4002814706754795,,
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,slope S,-0.027925612280294373,0.005724901411272058,-0.03990796864320287,-0.015943255917385882,0.00010447964634047185,,
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,slope P,-0.02328467327006272,0.00654609227349515,-0.03698580186086444,-0.009583544679261,0.0021043279189354737,,
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,slope B,-0.016175867760674246,0.007391721811435374,-0.03164691931550304,-0.0007048162058454505,0.04133766457283916,,
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,slope DiD S-P,-0.0046409390102316525,0.006140709610863784,-0.01749359193690584,0.008211713916442534,0.45905754898142964,,0.7149516993463366
