experiment,temperature,model,metric,contrast,diff_bits,ci_low,ci_high,hedges_g,auc,p_perm,n_disrupted,n_base,p_holm
exp1,1.0,gpt-4o-mini,H_adj,disrupted - base,-0.00626845704192714,-0.08002876611999196,0.0684758113165556,-0.0458447832076501,0.4925,0.8696130386961304,40,20,0.8696130386961304
exp1,1.0,gpt-4o-mini,H_decision,disrupted - base,-0.054509407510352756,-0.11579705597752109,0.007720525821838114,-0.43864264032232786,0.35375,0.10918908109189081,40,20,0.21837816218378162
exp1,1.0,llama-3.3-70b,H_adj,disrupted - base,0.01984465699874912,0.002119109418750322,0.038885144021667345,0.6073786759978043,0.6435897435897436,0.027897210278972105,39,20,0.08369163083691632
exp1,1.0,llama-3.3-70b,H_decision,disrupted - base,-0.024623016988517044,-0.05662793170892881,0.010000067108625672,-0.368695434039561,0.3730769230769231,0.18148185181481852,39,20,0.21837816218378162
exp1,1.0,qwen3-235b,H_adj,disrupted - base,0.0538690636273007,0.009197487031951668,0.10347482639633514,0.599399030202123,0.64875,0.032296770322967704,40,20,0.08369163083691632
exp1,1.0,qwen3-235b,H_decision,disrupted - base,0.2800518698979099,0.18613444966092674,0.37119745465288645,1.412243144729816,0.855,9.999000099990002e-05,40,20,0.00029997000299970003
exp3,0.5,gpt-4o-mini,H_adj,disrupted - base,-0.00449727733016439,-0.04415969768482637,0.040722304810059534,-0.06290751760019736,0.445,0.8129187081291871,40,20,0.8129187081291871
exp3,0.5,gpt-4o-mini,H_decision,disrupted - base,0.05718744197286793,-0.01537522475507112,0.13100421112517252,0.422150441843662,0.61125,0.11968803119688032,40,20,0.23937606239376064
exp3,0.5,llama-3.3-70b,H_adj,disrupted - base,0.009972816108903394,-0.009324286381392063,0.030522612938898852,0.2887590252785263,0.5625,0.29077092290770923,40,20,0.5815418458154185
exp3,0.5,llama-3.3-70b,H_decision,disrupted - base,-0.003393822136835728,-0.03753324719506711,0.030706215816051756,-0.05039392520367113,0.47875,0.8507149285071492,40,20,0.8507149285071492
exp3,0.5,qwen3-235b,H_adj,disrupted - base,0.11775867709241122,0.08354137516646513,0.151877609560946,1.602084409835585,0.89375,9.999000099990002e-05,40,20,0.00029997000299970003
exp3,0.5,qwen3-235b,H_decision,disrupted - base,0.35695391295877227,0.28282445560324937,0.42647905318975243,2.5686287754848713,0.9625,9.999000099990002e-05,40,20,0.00029997000299970003
exp2,0.0,gpt-4o-mini,H_adj,disrupted - base,-0.001205340998507845,-0.02096058486323203,0.01784503379059787,-0.02993285075386214,0.505,0.9073092690730927,40,20,0.9073092690730927
exp2,0.0,gpt-4o-mini,H_decision,disrupted - base,-0.03206846508513125,-0.08768091591367806,0.020490547381076037,-0.29156403798433655,0.44,0.2852714728527147,40,20,0.5705429457054294
exp2,0.0,llama-3.3-70b,H_adj,disrupted - base,0.010583525898693045,-0.009275126146080401,0.03096766894007043,0.24399507846357263,0.55875,0.36906309369063095,40,20,0.7381261873812619
exp2,0.0,llama-3.3-70b,H_decision,disrupted - base,-0.012943142144004452,-0.040717104336700935,0.014922363269724443,-0.2139823086006829,0.4325,0.42915708429157085,40,20,0.5705429457054294
exp2,0.0,qwen3-235b,H_adj,disrupted - base,0.09810463793222536,0.07978887788189469,0.11696492613270178,1.959116481204898,0.91875,9.999000099990002e-05,40,20,0.00029997000299970003
exp2,0.0,qwen3-235b,H_decision,disrupted - base,0.2383012245646835,0.19526346197328648,0.28128905747223526,2.051519912249662,0.95,9.999000099990002e-05,40,20,0.00029997000299970003
