                 spec         model  window    adjust    kind  n_seeds      mean    ci_low   ci_high  n_pos   p_sign  p_wilcoxon  p_wilcoxon_bh_family
                 main    qwen3-235b      10       adj prepost       20  0.065654  7.196454e-03  0.122202     13 0.263176    0.058258              0.399484      P-B
            read_only   gpt-4o-mini       5 read_only   level        5 -0.206183 -3.132935e-01 -0.099072      0 0.062500    0.062500              0.409091      S-P
            read_only   gpt-4o-mini       5 read_only   level        6 -0.022727 -2.194836e-01  0.147692      4 0.687500    1.000000              1.000000      P-B
            read_only   gpt-4o-mini       5 read_only prepost        2 -0.259172 -2.853984e-01 -0.232946      0 0.500000    0.500000              0.833708      S-P
            read_only   gpt-4o-mini       5 read_only prepost        2  0.027369  1.605160e-02  0.038686      2 0.500000    0.500000              0.833708      P-B
            read_only llama-3.3-70b       5 read_only   level       19 -0.000098 -3.063843e-04  0.000030     10 1.000000    0.708557              0.902940      S-P
            read_only llama-3.3-70b       5 read_only   level       19  0.000110 -1.310171e-07  0.000299     13 0.167068    0.123188              0.579171      P-B
            read_only llama-3.3-70b       5 read_only prepost       19  0.000021 -2.754613e-04  0.000342     10 1.000000    0.738091              0.915025      S-P
            read_only llama-3.3-70b       5 read_only prepost       19  0.000038 -2.853968e-04  0.000320     14 0.063568    0.049366              0.374142      P-B
            read_only    qwen3-235b       5 read_only   level       20 -0.034893 -1.259803e-01  0.056261      8 0.503445    0.474905              0.833708      S-P
            read_only    qwen3-235b       5 read_only   level       20  0.098765  3.080524e-02  0.168443     14 0.115318    0.017181              0.176723      P-B
            read_only    qwen3-235b       5 read_only prepost       20 -0.037516 -1.312763e-01  0.058495      8 0.503445    0.570597              0.874106      S-P
            read_only    qwen3-235b       5 read_only prepost       20  0.065138 -4.124571e-02  0.165844     13 0.263176    0.311794              0.816334      P-B
            read_only   gpt-4o-mini      10 read_only   level       14  0.012923 -6.781547e-02  0.091093      8 0.790527    0.855225              0.934375      S-P
            read_only   gpt-4o-mini      10 read_only   level       12  0.026114 -6.317533e-02  0.124162      7 0.774414    0.677246              0.886577      P-B
            read_only   gpt-4o-mini      10 read_only prepost        9  0.098948 -1.007494e-01  0.291411      6 0.507812    0.425781              0.833708      S-P
            read_only   gpt-4o-mini      10 read_only prepost        6 -0.072782 -2.001226e-01  0.055351      2 0.687500    0.437500              0.833708      P-B
            read_only llama-3.3-70b      10 read_only   level       19 -0.000044 -1.543834e-04  0.000032     10 1.000000    0.622562              0.886577      S-P
            read_only llama-3.3-70b      10 read_only   level       19 -0.001879 -5.732370e-03  0.000103      9 1.000000    0.293499              0.812766      P-B
            read_only llama-3.3-70b      10 read_only prepost       19  0.000074 -1.219411e-04  0.000346     11 0.647606    0.465317              0.833708      S-P
            read_only llama-3.3-70b      10 read_only prepost       19 -0.001951 -5.849379e-03  0.000118     10 1.000000    0.859573              0.934375      P-B
            read_only    qwen3-235b      10 read_only   level       20 -0.025725 -1.124620e-01  0.065096      8 0.503445    0.545876              0.854414      S-P
            read_only    qwen3-235b      10 read_only   level       20  0.105941  4.479001e-02  0.165082     16 0.011818    0.003153              0.068743      P-B
            read_only    qwen3-235b      10 read_only prepost       20 -0.028348 -1.231293e-01  0.069072      7 0.263176    0.474905              0.833708      S-P
            read_only    qwen3-235b      10 read_only prepost       20  0.072315 -2.666294e-02  0.167908     14 0.115318    0.245487              0.736462      P-B
adj+log_prompt_tokens   gpt-4o-mini       5       adj   level       20 -0.019068 -8.687237e-02  0.053873      6 0.115318    0.311794              0.816334      S-P
adj+log_prompt_tokens   gpt-4o-mini       5       adj   level       20  0.006496 -7.831729e-02  0.099799      8 0.503445    0.869488              0.934375      P-B
