model,action,n,H,tokens
gpt-4o-mini,decrypt,1827,0.19622772745116696,21.03721948549535
gpt-4o-mini,read_log,205,0.3564074980773174,2.0
gpt-4o-mini,submit,37,0.09342442816209266,158.54054054054055
gpt-4o-mini,write_log,999,0.21356838735468117,76.65965965965965
llama-3.3-70b,decrypt,245,9.630724001106792e-05,3.489795918367347
llama-3.3-70b,read_log,1235,0.0005380551095885942,1.0089068825910932
llama-3.3-70b,submit,75,0.13717892919125196,40.36
llama-3.3-70b,write_log,1302,0.33848058148703647,33.23195084485407
qwen3-235b,decrypt,125,0.11128403617268762,19.0
qwen3-235b,read_log,2551,0.40916318340780733,2.0
qwen3-235b,submit,53,0.04876506739835704,182.54716981132074
qwen3-235b,write_log,342,0.12740765010017724,91.2046783625731
