model,condition,variant,post_H_system,post_I,post_I_excess,post_turns_sig,post_turns,pre_H_system,pre_I
gpt-4o-mini,base,active_only,2.3163916671376277,0.05346424452011003,-8.832975084889692e-05,0,13,1.14058079573524,0.008253273882478597
gpt-4o-mini,base,all_states,2.3163916671376277,0.05346424452011003,2.2165695284721363e-05,0,13,1.14058079573524,0.008253273882478597
gpt-4o-mini,placebo,active_only,2.4323231488565744,0.10411455334997682,0.02477936660794276,1,13,1.042219884636545,0.005662049648641055
gpt-4o-mini,placebo,all_states,2.722042596878429,0.11327162964354368,0.013575775678180182,1,13,1.042219884636545,0.005662049648641055
gpt-4o-mini,switch,active_only,2.5877031926890544,0.12439109480508422,0.002170235780257571,1,13,1.3142101775803052,0.017977760397752115
gpt-4o-mini,switch,all_states,3.0330163196697772,0.23013850649720077,0.009671287362316153,0,13,1.3142101775803052,0.017977760397752115
llama-3.3-70b,base,active_only,0.30117479700728494,0.00045204003495948373,-0.0003308613347871962,1,13,0.34566889866880673,3.203864042081676e-05
llama-3.3-70b,base,all_states,0.30117479700728494,0.00045204003495948373,-0.0003440528690224642,1,13,0.34566889866880673,3.203864042081676e-05
llama-3.3-70b,placebo,active_only,0.3014796336095449,0.0004616734737479393,0.00022411873953113198,2,13,0.35880135306046895,0.0009664509756015109
llama-3.3-70b,placebo,all_states,0.8081039383100566,0.0159372748570111,-0.0007542620670025649,1,13,0.35880135306046895,0.0009664509756015109
llama-3.3-70b,switch,active_only,0.20311877399464873,0.000199737844984951,-0.00018121117819176687,0,13,0.3723692957631332,0.0003790128761001095
llama-3.3-70b,switch,all_states,0.6634151698810284,0.015620382735567954,-0.0015137242041882554,0,13,0.3723692957631332,0.0003790128761001095
qwen3-235b,base,active_only,1.5157902741921148,1.1646868662213093e-09,1.0620421078445508e-09,0,13,1.0374372943707213,7.935864030943484e-13
qwen3-235b,base,all_states,1.5157902741921148,1.1646868662213093e-09,1.0387846523014018e-09,0,13,1.0374372943707213,7.935864030943484e-13
qwen3-235b,placebo,active_only,2.136122671312796,0.003629952860148185,-0.0007786672697824603,2,13,1.067165229010665,3.245521045409848e-05
qwen3-235b,placebo,all_states,2.391559983023931,0.004119764509737839,-0.0033886888118895603,1,13,1.067165229010665,3.245521045409848e-05
qwen3-235b,switch,active_only,2.4675951999231365,0.015520818116967646,0.01283381529484512,8,13,1.0423890642596156,4.868308720470645e-08
qwen3-235b,switch,all_states,2.4675951999231365,0.015520818116967646,0.012901384418408539,9,13,1.0423890642596156,4.868308720470645e-08
