model,condition,seed,H_pre,H_post,H_delta,H_adj_pre,H_adj_post,H_adj_delta,H_decision_pre,H_decision_post,H_decision_delta,H_write_delta
gpt-4o-mini,base,1,0.163653031956234,0.22731583779354547,0.06366280583731146,0.17779614191454862,0.23120296384599295,0.05340682193144433,0.2770094283591025,0.42048738705422817,0.14347795869512564,0.014438514762248222
gpt-4o-mini,base,2,0.1780128434946084,0.2705815607766357,0.09256871728202729,0.1776572953527706,0.27861448889234564,0.10095719353957502,0.29889821548355744,0.2818257882450396,-0.017072427238517818,0.09657411461039003
gpt-4o-mini,base,3,0.16288208026785717,0.2297782691934131,0.06689618892555593,0.16063991111062553,0.22582553648680126,0.06518562537617573,0.2459345876496131,0.335288427059938,0.0893538394103249,0.035758757726211676
gpt-4o-mini,base,4,0.18360103144726683,0.28972194797826645,0.10612091653099961,0.1825995734939839,0.2861253824337501,0.10352580893976618,0.31004106122493685,0.4219153261943872,0.11187426496945035,0.032690122227921836
gpt-4o-mini,base,5,0.19001869967604282,0.2355418826212597,0.04552318294521687,0.1929859594444326,0.23906858244265788,0.0460826229982253,0.36112685348030815,0.2733501085022668,-0.08777674497804133,-0.021278944058675336
gpt-4o-mini,base,6,0.19089654856253993,0.2059228418066136,0.015026293244073674,0.2007731588740614,0.2099904007344691,0.009217241860407677,0.3106030678235018,0.32430029209616623,0.013697224272664454,0.0022808374308918578
gpt-4o-mini,base,7,0.16946385795121977,0.2272243546730504,0.057760496721830645,0.18209027379426593,0.21192133421592685,0.02983106042166092,0.3467105253368836,0.3610211930068153,0.014310667669931665,0.0037177682588911964
gpt-4o-mini,base,8,0.17906237582418202,0.21422032982890088,0.035157954004718855,0.18195036836297104,0.22203488940325536,0.040084521040284316,0.36553349562545484,0.3479993240165472,-0.017534171608907634,0.003221643455622203
gpt-4o-mini,base,9,0.17723528257827523,0.19273812111950114,0.015502838541225916,0.18974538954869122,0.18609910684031478,-0.0036462827083764415,0.37386895374329177,0.3302439175282429,-0.043625036215048874,0.025483883706882426
gpt-4o-mini,base,10,0.15785459281315037,0.23361405032336677,0.0757594575102164,0.16038170908893062,0.21499478961327628,0.05461308052434566,0.32840551448418104,0.29777630829131063,-0.030629206192870406,-0.0017815547132331577
gpt-4o-mini,base,11,0.24310761819023055,0.22254667419251722,-0.020560943997713327,0.23003869206408334,0.2173238514561105,-0.012714840607972844,0.3145015829943089,0.365342649524056,0.05084106652974707,-0.0006159924266373185
gpt-4o-mini,base,12,0.1558547816358986,0.23490568690235816,0.07905090526645955,0.16521441265072706,0.23923273645755236,0.0740183238068253,0.17825902354776962,0.38404499266072906,0.20578596911295943,0.11267742318060942
gpt-4o-mini,base,13,0.2045629223299658,0.25585797269651706,0.05129505036655124,0.20994190639723323,0.2616585814546384,0.051716675057405154,0.24492490406763337,0.475191344006788,0.2302664399391546,0.08769736889101687
gpt-4o-mini,base,14,0.19412144314343113,0.2379455351048253,0.04382409196139417,0.18850326079644888,0.23576622778016848,0.047262966983719595,0.16185229957903205,0.3470435489672673,0.18519124938823525,0.04074097399992199
gpt-4o-mini,base,15,0.230045835416796,0.23152702458380484,0.001481189167008845,0.22747935183334955,0.23725038688869965,0.009771035055350097,0.26113150652735545,0.4337429601408808,0.17261145361352537,0.06943813864703918
