model,read_returned,n,H,H_adj,H_decision
gpt-4o-mini,own entries only,74,0.10358650577939049,0.14048986381767012,0.23270117444203603
gpt-4o-mini,peer entries,38,0.13776910310095372,0.18964857483429465,0.6009490670576559
gpt-4o-mini,placebo entries,46,0.17132915051252495,0.2181151389008849,0.5354787607516811
llama-3.3-70b,own entries only,503,0.2884178313575475,0.16009994626108953,0.11928607659979934
llama-3.3-70b,peer entries,211,0.2805090080188209,0.13419676339242073,0.07196152309734594
llama-3.3-70b,placebo entries,285,0.3423155579982258,0.16766241951420077,0.08579603557368987
qwen3-235b,own entries only,1000,0.3958830356945523,0.3461609953350277,0.7881006104428335
qwen3-235b,peer entries,470,0.5145461512753735,0.51438722210121,1.1969016719151135
qwen3-235b,placebo entries,653,0.41982326470702236,0.40443743431949225,0.925186892893763
