model,condition,turn,variant,n_pairs,H1,H2,sum_H,I,H_system,I_null_mean,I_null_95,I_excess,p_perm
gpt-4o-mini,base,1,all_states,20,0.00021768304461715744,0.002386311749319637,0.0026039947939367944,5.234114456383926e-13,0.002603994793413383,3.368373816780669e-12,9.852984247525461e-12,-2.844962371142276e-12,1.0
gpt-4o-mini,base,1,active_only,20,0.00021768304461715744,0.002386311749319637,0.0026039947939367944,5.234114456383926e-13,0.002603994793413383,3.1910088719299643e-12,1.0000176228574618e-11,-2.6675974262915716e-12,1.0
gpt-4o-mini,base,2,all_states,20,0.008531226404704453,0.00015477190862672713,0.00868599831333118,5.4944801435688096e-12,0.008685998307836701,4.1783300895312464e-11,1.6357940223132984e-10,-3.6288820751743656e-11,0.7602397602397603
gpt-4o-mini,base,2,active_only,20,0.008531226404704453,0.00015477190862672713,0.00868599831333118,5.4944801435688096e-12,0.008685998307836701,4.14517580013385e-11,1.816672460834118e-10,-3.595727785776969e-11,0.7682317682317682
gpt-4o-mini,base,3,all_states,20,0.7630829034239979,0.26957676372004996,1.0326596671440478,8.108866273355914e-06,1.0326515582777744,0.0002733452405359152,0.0008416769421757276,-0.00026523637426255933,0.926073926073926
gpt-4o-mini,base,3,active_only,20,0.7630829034239979,0.26957676372004996,1.0326596671440478,8.108866273355914e-06,1.0326515582777744,0.00028350638808220455,0.0008203799998954208,-0.00027539752180884866,0.9400599400599401
gpt-4o-mini,base,4,all_states,20,0.32092020624228934,1.405206775269374,1.7261269815116633,0.006522987991725354,1.7196039935199379,0.0030377255086519285,0.007271133195611739,0.0034852624830734253,0.1258741258741259
gpt-4o-mini,base,4,active_only,20,0.32092020624228934,1.405206775269374,1.7261269815116633,0.006522987991725354,1.7196039935199379,0.0030485052659766742,0.007222046325667515,0.0034744827257486796,0.1068931068931069
gpt-4o-mini,base,5,all_states,20,0.848335037495823,0.00015914692630092625,0.8484941844221239,2.724905015068588e-07,0.8484939119316224,1.1224504411307395e-07,3.2111645518313875e-07,1.6024545739378483e-07,0.0969030969030969
gpt-4o-mini,base,5,active_only,20,0.848335037495823,0.00015914692630092625,0.8484941844221239,2.724905015068588e-07,0.8484939119316224,1.1709775622488494e-07,3.3980133276071624e-07,1.5539274528197385e-07,0.11188811188811189
gpt-4o-mini,base,6,all_states,20,1.4306413264814564,1.1129167338592618,2.543558060340718,0.044011168404028196,2.49954689193669,0.03607139653855577,0.08449510008389774,0.007939771865472428,0.3006993006993007
gpt-4o-mini,base,6,active_only,20,1.4306413264814564,1.1129167338592618,2.543558060340718,0.044011168404028196,2.49954689193669,0.035733037627787345,0.08036401015781672,0.008278130776240851,0.3016983016983017
gpt-4o-mini,base,7,all_states,20,0.4623680197924967,1.417341581005713,1.8797096007982097,0.007230379418803879,1.872479221379406,0.013033027177580061,0.030562528015433927,-0.005802647758776182,0.6253746253746254
gpt-4o-mini,base,7,active_only,20,0.4623680197924967,1.417341581005713,1.8797096007982097,0.007230379418803879,1.872479221379406,0.013164898565676165,0.030164173209160056,-0.005934519146872286,0.6523476523476524
gpt-4o-mini,base,8,all_states,20,1.1549094206104864,1.0552396662840806,2.210149086894567,0.1045142468402552,2.1056348400543117,0.05935707553003712,0.18369531855432192,0.04515717131021808,0.16383616383616384
gpt-4o-mini,base,8,active_only,20,1.1549094206104864,1.0552396662840806,2.210149086894567,0.1045142468402552,2.1056348400543117,0.056519316766943155,0.1712142104673137,0.04799493007331205,0.15684315684315683
gpt-4o-mini,base,9,all_states,20,1.3602903173714636,0.9917430207855527,2.352033338157016,0.02583777897389911,2.326195559183117,0.04590634633590634,0.08534677726872927,-0.02006856736200723,0.8331668331668332
gpt-4o-mini,base,9,active_only,20,1.3602903173714636,0.9917430207855527,2.352033338157016,0.02583777897389911,2.326195559183117,0.04634416123007939,0.0870515611257868,-0.02050638225618028,0.8411588411588412
gpt-4o-mini,base,10,all_states,20,0.9421276773119042,1.2676495201041194,2.2097771974160234,0.12810816306648282,2.0816690343495408,0.06883473778669465,0.16939056139612998,0.05927342527978817,0.15884115884115885
gpt-4o-mini,base,10,active_only,20,0.9421276773119042,1.2676495201041194,2.2097771974160234,0.12810816306648282,2.0816690343495408,0.0713409531309684,0.1723579844577335,0.056767209935514415,0.1798201798201798
gpt-4o-mini,base,11,all_states,20,1.0814379417050521,1.4018932177536916,2.4833311594587437,0.013551322379935294,2.4697798370788084,0.05133452670981815,0.13620474143271924,-0.03778320432988285,0.8091908091908092
gpt-4o-mini,base,11,active_only,20,1.0814379417050521,1.4018932177536916,2.4833311594587437,0.013551322379935294,2.4697798370788084,0.052881179680618194,0.150351416830446,-0.0393298573006829,0.7912087912087912
gpt-4o-mini,base,12,all_states,20,1.5786802352088933,1.1382978785513562,2.7169781137602493,0.06635690566815206,2.6506212080920974,0.051038578187846996,0.10173796996163252,0.01531832748030506,0.2777222777222777
gpt-4o-mini,base,12,active_only,20,1.5786802352088933,1.1382978785513562,2.7169781137602493,0.06635690566815206,2.6506212080920974,0.05356729510604659,0.10745853995227522,0.012789610562105466,0.3006993006993007
gpt-4o-mini,base,13,all_states,20,1.0106630394681142,1.1807229657139358,2.19138600518205,0.005797800310063604,2.1855882048719866,0.0392408402540299,0.129079760300871,-0.033443039943966295,0.9000999000999002
gpt-4o-mini,base,13,active_only,20,1.0106630394681142,1.1807229657139358,2.19138600518205,0.005797800310063604,2.1855882048719866,0.04014950760293681,0.13402178101959952,-0.03435170729287321,0.9070929070929071
