model,condition,turn,metric,mean,ci_low,ci_high,n_runs
gpt-4o-mini,base,1,H,0.020774665794821658,0.0025392799560483388,0.04673053202988008,20
gpt-4o-mini,base,2,H,0.2575741125971575,0.22929683182342162,0.29700156530721067,20
gpt-4o-mini,base,3,H,0.49864660802166016,0.30594960809933536,0.7065024842381054,20
gpt-4o-mini,base,4,H,0.30373704482606884,0.2525212199662849,0.3650414285043551,20
gpt-4o-mini,base,5,H,0.272865409009766,0.23305199030781248,0.3109310364821605,20
gpt-4o-mini,base,6,H,0.3063094179180695,0.1961640356702068,0.456522304536111,20
gpt-4o-mini,base,7,H,0.24952519716597368,0.1848016274913163,0.3392121816148219,20
gpt-4o-mini,base,8,H,0.47052097378444824,0.2921337421012819,0.688761330513722,20
gpt-4o-mini,base,9,H,0.33722266355476466,0.22156686462570047,0.4864867852540261,20
gpt-4o-mini,base,10,H,0.30918440125500624,0.2128655958964877,0.45676727551752966,20
gpt-4o-mini,base,11,H,0.29600300086725245,0.18622469409584017,0.45146751642272137,20
gpt-4o-mini,base,12,H,0.29301830711724763,0.1983570314312241,0.442264221913185,20
gpt-4o-mini,base,13,H,0.35715581046439665,0.24645961637973904,0.5126171539752523,20
gpt-4o-mini,base,14,H,0.3330407636562759,0.22309604200084782,0.4767674721711357,20
gpt-4o-mini,base,15,H,0.3056086309187871,0.1958759048024135,0.45465727945463286,20
gpt-4o-mini,base,16,H,0.36448631374305135,0.22470644969256387,0.5468691870508084,20
gpt-4o-mini,base,17,H,0.32300044344253387,0.21783911063244887,0.4565508794415963,20
gpt-4o-mini,base,18,H,0.2563895409112374,0.19043830219966038,0.32449604567441226,20
gpt-4o-mini,base,19,H,0.3116658864090115,0.21714966792655335,0.4427868833122549,20
gpt-4o-mini,base,20,H,0.2547779014870484,0.16947986625968442,0.36197013456345134,20
gpt-4o-mini,base,21,H,0.4172824156940269,0.2681129961801156,0.5876438508106013,20
gpt-4o-mini,base,22,H,0.260505757802595,0.19339549450225246,0.3408397670835109,20
gpt-4o-mini,base,23,H,0.24713101561341114,0.19326709534658734,0.3074577939564929,20
gpt-4o-mini,base,24,H,0.32081716819570255,0.23145074713549285,0.4220215969469925,20
gpt-4o-mini,base,25,H,0.23293841619269856,0.1807754969343561,0.2908123237986352,20
gpt-4o-mini,base,26,H,0.37681941752593684,0.24862498089976579,0.5574555359861574,20
gpt-4o-mini,base,27,H,0.26888143788268704,0.2176456302512577,0.32363818335154926,20
gpt-4o-mini,base,28,H,0.29694249191524347,0.2343356728020667,0.3643372300294599,20
gpt-4o-mini,base,29,H,0.2326561293717408,0.17319131818070757,0.2975491379939673,20
gpt-4o-mini,base,30,H,0.21617091217899492,0.16725072403719884,0.2734152951437841,20
gpt-4o-mini,switch,1,H,0.005477977210202211,0.00014617596762846728,0.013767046106937832,20
gpt-4o-mini,switch,2,H,0.28854149764717485,0.25208311139908296,0.3313821403080851,20
gpt-4o-mini,switch,3,H,0.4061630849143055,0.21199533753981728,0.629981182843905,20
gpt-4o-mini,switch,4,H,0.24266621191613086,0.20435138240143688,0.28725128011081213,20
gpt-4o-mini,switch,5,H,0.30243177770257273,0.20162338041930516,0.4465718411936987,20
gpt-4o-mini,switch,6,H,0.42727301137722673,0.26931945834518783,0.6145691671168491,20
gpt-4o-mini,switch,7,H,0.4995082494156648,0.3356565377634365,0.6993356426958458,20
gpt-4o-mini,switch,8,H,0.32070341090780297,0.2142035532165373,0.46550731267139595,20
gpt-4o-mini,switch,9,H,0.3988780485580722,0.27613097657932323,0.5695052807103355,20
gpt-4o-mini,switch,10,H,0.20575803720467092,0.16267446938022273,0.24954043791327057,20
gpt-4o-mini,switch,11,H,0.2621152090715467,0.19355044536893917,0.3484765056886738,19
gpt-4o-mini,switch,12,H,0.4031413088810462,0.21267576960280732,0.6327898958399664,19
gpt-4o-mini,switch,13,H,0.37398066887341885,0.2646353635203424,0.5209567402202931,19
gpt-4o-mini,switch,14,H,0.2662267862914168,0.21506672333070156,0.32880039720168197,19
gpt-4o-mini,switch,15,H,0.34264299549130156,0.23338822143530896,0.48822610203367095,19
gpt-4o-mini,switch,16,H,0.30435463226501613,0.19367256787773296,0.4522008287474257,18
gpt-4o-mini,switch,17,H,0.3729761851330442,0.2678222555607968,0.5047886603076205,18
gpt-4o-mini,switch,18,H,0.3737612378738745,0.23005706646741692,0.5659930027460569,18
gpt-4o-mini,switch,19,H,0.2713442529916096,0.16854539146318936,0.40773090488166935,18
gpt-4o-mini,switch,20,H,0.3188223782781832,0.18070868930406736,0.4950206179377036,18
gpt-4o-mini,switch,21,H,0.35172723230371505,0.19423768135562386,0.58949368323161,10
