model,condition,runs,task_success,communication_verified,complete_via_channel,both_complete,tau_read_median,mean_turns
gpt-4o-mini,base,20,0.0,0.0,0.0,0.0,,30.0
gpt-4o-mini,placebo,20,0.0,0.0,0.0,0.0,,26.2
gpt-4o-mini,switch,20,0.75,1.0,0.75,0.1,12.5,22.8
llama-3.3-70b,base,20,0.0,0.0,0.0,0.0,,30.0
llama-3.3-70b,placebo,19,0.0,0.0,0.0,0.0,,29.105263157894736
llama-3.3-70b,switch,20,0.85,1.0,0.85,0.15,9.0,23.45
qwen3-235b,base,20,0.0,0.0,0.0,0.0,,30.0
qwen3-235b,placebo,20,0.0,0.0,0.0,0.0,,16.35
qwen3-235b,switch,20,0.9,0.95,0.9,0.45,8.0,16.75
