model,term,coef,ci_low,ci_high,p,n_calls,n_runs
gpt-4o-mini,C(condition)[T.switch],7.178049917143714e-18,-5054291.493273403,5054291.493273403,1.0,2222,60
gpt-4o-mini,C(condition)[T.placebo],2.0915594129402793e-16,-5811918.535156562,5811918.535156562,1.0,2222,60
gpt-4o-mini,post,0.047214190449514346,-0.013860222173210576,0.10828860307223927,0.12972937871776655,2222,60
gpt-4o-mini,C(condition)[T.switch]:post,-0.031225694528413298,-0.11933386189520404,0.05688247283837744,0.48729673746479485,2222,60
gpt-4o-mini,C(condition)[T.placebo]:post,0.01919788220211273,-0.06978228427412343,0.10817804867834889,0.6723891714213408,2222,60
gpt-4o-mini,C(condition)[T.switch]:post [OLS cluster-robust],-0.025396300795899815,-0.11603224461066196,0.06523964301886233,0.5828789962503974,2222,60
gpt-4o-mini,C(condition)[T.placebo]:post [OLS cluster-robust],0.019904004866729417,-0.05645303440541331,0.09626104413887214,0.6094181343696903,2222,60
llama-3.3-70b,C(condition)[T.switch],2.6799495711626743e-17,-2137786.7699077697,2137786.7699077697,1.0,2208,59
llama-3.3-70b,C(condition)[T.placebo],-3.4525502569848715e-19,-1727222.398097632,1727222.398097632,1.0,2208,59
llama-3.3-70b,post,0.004810722624141506,-0.011195438919468746,0.020816884167751758,0.5558103985164471,2208,59
llama-3.3-70b,C(condition)[T.switch]:post,0.022739163453789457,-0.0001583478902536864,0.0456366747978326,0.05160552844987539,2208,59
llama-3.3-70b,C(condition)[T.placebo]:post,0.026376642853005117,0.003320908909409701,0.049432376796600536,0.0249436767645794,2208,59
llama-3.3-70b,C(condition)[T.switch]:post [OLS cluster-robust],0.02267534584806855,0.004301219296859664,0.041049472399277434,0.01557290843877086,2208,59
llama-3.3-70b,C(condition)[T.placebo]:post [OLS cluster-robust],0.026394505894743403,0.003436165167327934,0.04935284662215887,0.024239548755288862,2208,59
qwen3-235b,C(condition)[T.switch],0.022098815264478995,-0.01396435734682868,0.05816198787578667,0.2297403192251498,1842,60
qwen3-235b,C(condition)[T.placebo],0.02200547077352591,-0.013949435325425058,0.057960376872476876,0.23031174969332702,1842,60
qwen3-235b,post,-0.0062944396102911455,-0.0345153979370368,0.02192651871645451,0.6620004351663544,1842,60
qwen3-235b,C(condition)[T.switch]:post,0.05337467688604005,0.010917412292202444,0.09583194147987766,0.013741647757864472,1842,60
qwen3-235b,C(condition)[T.placebo]:post,0.07962429513984594,0.03711430353020316,0.12213428674948872,0.0002414572348028981,1842,60
qwen3-235b,C(condition)[T.switch]:post [OLS cluster-robust],0.05343667298866523,-0.005390300558809444,0.1122636465361399,0.07501493984031199,1842,60
qwen3-235b,C(condition)[T.placebo]:post [OLS cluster-robust],0.07909687761556863,0.021924306378917346,0.13626944885221992,0.006696680473354332,1842,60
