model,condition,seed,H_pre,H_post,H_delta,H_adj_pre,H_adj_post,H_adj_delta,H_decision_pre,H_decision_post,H_decision_delta,H_write_delta
gpt-4o-mini,base,1,0.1688354217151483,0.35762723092375037,0.18879180920860208,0.16824836431544238,0.3480018274609851,0.17975346314554275,0.13333244258099658,0.3550731168365576,0.22174067425556104,0.0754084177798594
gpt-4o-mini,base,2,0.5729535406532393,0.2807616720861379,-0.29219186856710144,0.5720477285580541,0.281836409371957,-0.2902113191860971,0.18430123860663136,0.36778447313449514,0.18348323452786378,-0.13971845741191674
gpt-4o-mini,base,3,0.25208365736521193,0.36646603186486637,0.11438237449965444,0.2515311763883868,0.3656498598261265,0.11411868343773973,0.3078667012484685,0.3592186442283008,0.05135194297983231,0.024553803998619256
gpt-4o-mini,base,4,0.2263160818490546,0.2680458567716058,0.0417297749225512,0.22806664567971455,0.2657941233881113,0.03772747770839677,0.3544128118539236,0.32601515468311637,-0.028397657170807222,-0.013481732503420718
gpt-4o-mini,base,5,0.2544717058054559,0.28041459378649153,0.02594288798103561,0.2490473464521809,0.2782462411905006,0.029198894738319714,0.27576350475701633,0.28057115642428393,0.004807651667267598,-0.08141962811555548
gpt-4o-mini,base,6,0.17642561094910816,0.2459635089757547,0.06953789802664653,0.17872798981870947,0.24267754946464007,0.0639495596459306,0.1453080214351352,0.2974525219702071,0.15214450053507192,0.10421406817000256
gpt-4o-mini,base,7,0.3323544775912516,0.2759187608133035,-0.056435716777948064,0.3326546158342141,0.27336503232090975,-0.05928958351330432,0.15281214590379796,0.25154871127980705,0.09873656537600908,-0.06907705977628195
gpt-4o-mini,base,8,0.39258520767266486,0.32995173430659536,-0.0626334733660695,0.39534203324146583,0.33031652834296377,-0.06502550489850206,0.34652524554393876,0.28098746371547184,-0.06553778182846692,0.0060585546997251605
gpt-4o-mini,base,9,0.2133068193674395,0.22251453152492134,0.00920771215748184,0.20700482010962745,0.21648832986124159,0.009483509751614133,0.394193904109652,0.39401365745356454,-0.00018024665608745716,0.07709447719345286
gpt-4o-mini,base,10,0.19019565888459053,0.44929389936680253,0.25909824048221197,0.1932273357801258,0.44945094169736455,0.25622360591723875,0.22678101069512419,0.3137113716175151,0.08693036092239093,0.0025543554763481913
gpt-4o-mini,base,11,0.3192177489040367,0.3111474465109725,-0.008070302393064221,0.3213557303260175,0.3138511090139569,-0.007504621312060589,0.04099514033402575,0.32803098980069767,0.28703584946667193,0.18371520079720247
gpt-4o-mini,base,12,0.21769736178409024,0.35990387897716636,0.14220651719307612,0.2202857753750469,0.35551080462481666,0.13522502924976976,0.1814616095975358,0.4631350737673755,0.28167346416983974,0.06609578128650037
gpt-4o-mini,base,13,0.36180947031397165,0.37660423224266365,0.014794761928692002,0.36161341123600416,0.3758910919978782,0.014277680761874023,0.16519208759846662,0.3563241930816086,0.191132105483142,-0.19287530230743272
gpt-4o-mini,base,14,0.20364383347429943,0.1690894532971042,-0.034554380177195226,0.20592156942155412,0.16418378420058255,-0.041737785220971574,0.20336967685044846,0.2275986018311294,0.024228924980680938,-0.03751751763663436
gpt-4o-mini,base,15,0.3733305292367607,0.26228410666059776,-0.11104642257616293,0.37331259357515656,0.25853058586865874,-0.11478200770649782,0.2881547729096822,0.41249185962606494,0.12433708671638272,0.10685310092741906
gpt-4o-mini,base,16,0.2764124288143988,0.2953605143482064,0.018948085533807613,0.2729792219153359,0.2912455012950011,0.018266279379665185,0.3475899489258801,0.5069688600843867,0.1593789111585066,0.13305975483010163
gpt-4o-mini,base,17,0.2076286100330358,0.4825364032963704,0.2749077932633346,0.20737025102539408,0.4742874939173547,0.2669172428919606,0.24031613565964083,0.46187648904268597,0.22156035338304514,0.0020442937539252304
gpt-4o-mini,base,18,0.16784777172614884,0.5059786540824854,0.3381308823563366,0.1640820314843186,0.5007792526851488,0.3366972212008302,0.16626361515697932,0.4106172132939704,0.24435359813699106,-0.003965937826652055
gpt-4o-mini,base,19,0.2458422632900499,0.2657552668417491,0.0199130035516992,0.24955894044256072,0.26452718409444526,0.014968243651884539,0.2882567808445811,0.31034690781151714,0.02209012696693602,-0.06904759321802909
gpt-4o-mini,base,20,0.3025631015229501,0.37449705041639547,0.0719339488934454,0.29939499587102797,0.3755707349607038,0.07617573908967584,0.4114668927154631,0.3434700189809302,-0.06799687373453289,0.20740781289166452
gpt-4o-mini,placebo,1,0.3246963075538614,0.49265956370200614,0.16796325614814472,0.3277641873791656,0.4971013336392053,0.1693371462600397,0.0807567032821634,0.35656412545851446,0.27580742217635107,-0.07596044064065843
