model,condition,alarm_rate,median_delay,threshold_h
gpt-4o-mini,base,0.05,,6.041842870459269
gpt-4o-mini,placebo,0.15,,6.041842870459269
gpt-4o-mini,switch,0.2,-1.0,6.041842870459269
llama-3.3-70b,base,0.05,,4.274193822666347
llama-3.3-70b,placebo,0.2631578947368421,,4.274193822666347
llama-3.3-70b,switch,0.05,2.0,4.274193822666347
qwen3-235b,base,0.05,,6.678205735848261
qwen3-235b,placebo,0.25,,6.678205735848261
qwen3-235b,switch,0.15,7.0,6.678205735848261
