model,read_returned,n,H,H_adj,H_decision
gpt-4o-mini,own entries only,156,0.2781421244802512,0.26966982875995976,0.4818674046739329
gpt-4o-mini,peer entries,51,0.22630955243455134,0.28610309086399877,0.6415260063144433
gpt-4o-mini,placebo entries,56,0.29664027528966536,0.36028418590345307,0.6571057199377519
llama-3.3-70b,own entries only,507,0.32974027068759665,0.1853527393186059,0.09819504995682937
llama-3.3-70b,peer entries,239,0.32091900564101844,0.17374341915094052,0.03878110730776553
llama-3.3-70b,placebo entries,315,0.37565713214471086,0.19549727645457599,0.06781709979580403
qwen3-235b,own entries only,821,0.27004419156305476,0.2442364308612223,0.5901385175171974
qwen3-235b,peer entries,189,0.311225912742056,0.33272788536651404,0.8677166347062014
qwen3-235b,placebo entries,164,0.33499189527779166,0.3655238223890122,1.111840992304007
