model,agent,turn_minus_tau_read,n,tokH_mean,tokH_ci_low,tokH_ci_high
gpt-4o-mini,A1,-14,1,1.6307952802776217e-05,1.6307952802776217e-05,1.6307952802776217e-05
gpt-4o-mini,A1,-13,1,0.314663030754095,0.314663030754095,0.314663030754095
gpt-4o-mini,A1,-12,5,0.047723234859978696,1.4618066088336865e-05,0.1431330369187938
gpt-4o-mini,A1,-11,11,0.1551000676428938,0.058177512506739394,0.2529188769367516
gpt-4o-mini,A1,-10,13,0.22678732520187994,0.15215337727129782,0.29350683307627834
gpt-4o-mini,A1,-9,16,0.1856743110366831,0.11355135731707193,0.2675083495798092
gpt-4o-mini,A1,-8,19,0.23519006185193125,0.16925690016624886,0.29406332051927053
gpt-4o-mini,A1,-7,20,0.25707510650822385,0.17846576905833428,0.324403359658575
gpt-4o-mini,A1,-6,20,0.36583590100216323,0.19461311798442235,0.6498779582212242
gpt-4o-mini,A1,-5,20,0.2629473829259222,0.19713174063335168,0.3206944343735933
gpt-4o-mini,A1,-4,20,0.2586318143491257,0.20659723010194103,0.30361848641495887
gpt-4o-mini,A1,-3,20,0.2839722356888375,0.23834478637773324,0.3296341161289368
gpt-4o-mini,A1,-2,20,0.2831670621053499,0.21570483584763323,0.3490115317639556
gpt-4o-mini,A1,-1,20,0.3279092112454243,0.2946303444048537,0.36975932602636374
gpt-4o-mini,A1,0,20,0.236518798265646,0.17279744393302723,0.2968266901745742
gpt-4o-mini,A1,1,20,0.2818813467874775,0.21217920373172747,0.36438021037507834
gpt-4o-mini,A1,2,16,0.19607480452646048,0.13427501295067676,0.2588105656099762
gpt-4o-mini,A1,3,15,0.26528601819306047,0.1680068079028522,0.3504823477528132
gpt-4o-mini,A1,4,13,0.516655998725578,0.24224199774598673,0.8873174908640085
gpt-4o-mini,A1,5,12,0.21200169570635335,0.1394144423795265,0.29012448603768715
gpt-4o-mini,A1,6,11,0.5473530341577425,0.22901739533380072,1.0867615248648343
gpt-4o-mini,A1,7,9,0.3353234808910301,0.1762116950973743,0.5217169252049594
gpt-4o-mini,A1,8,7,0.2703145974361782,0.15508787439996627,0.3827774329370246
gpt-4o-mini,A1,9,4,0.21320551677601107,0.02430370380877013,0.40210732974325203
gpt-4o-mini,A1,10,3,0.23294135680745515,0.11633185947844035,0.31660592005933047
gpt-4o-mini,A1,11,3,0.17858675973566754,0.03196286997498979,0.2964098555489523
gpt-4o-mini,A1,12,2,0.3056872013847172,0.23564589361568508,0.37572850915374933
gpt-4o-mini,A1,13,2,0.49657020121654927,0.4549029921999172,0.5382374102331814
gpt-4o-mini,A1,14,2,0.10829048029494659,0.02027235853137782,0.19630860205851536
gpt-4o-mini,A1,15,1,0.5366122381900039,0.5366122381900039,0.5366122381900039
gpt-4o-mini,A1,16,1,0.4956119560189475,0.4956119560189475,0.4956119560189475
gpt-4o-mini,A1,17,1,0.1693193948915628,0.1693193948915628,0.1693193948915628
gpt-4o-mini,A1,18,1,0.31512719938664074,0.31512719938664074,0.31512719938664074
gpt-4o-mini,A2,-14,1,0.0002460846786220129,0.0002460846786220129,0.0002460846786220129
gpt-4o-mini,A2,-13,1,0.10494131432268955,0.10494131432268955,0.10494131432268955
gpt-4o-mini,A2,-12,5,0.014728172549649667,0.0002896214690899197,0.04354910489318053
gpt-4o-mini,A2,-11,11,0.10707533697095803,0.026678890869094682,0.21627081267420245
gpt-4o-mini,A2,-10,13,0.11466554073635031,0.0668304085100262,0.1641069798820279
gpt-4o-mini,A2,-9,16,0.198427090135678,0.08840248980504173,0.32603532749655595
gpt-4o-mini,A2,-8,19,0.20859076563181603,0.11927726619760597,0.321286446702706
gpt-4o-mini,A2,-7,20,0.21876629297543682,0.13399188499832704,0.3279406436138889
gpt-4o-mini,A2,-6,20,0.18810099195750427,0.09967040002324189,0.2834322357348901
gpt-4o-mini,A2,-5,20,0.2356344935843905,0.15997207152202925,0.3241873965098202
gpt-4o-mini,A2,-4,20,0.15989783789091938,0.12213365942182611,0.20461303387618207
gpt-4o-mini,A2,-3,20,0.1749821361385634,0.12855265848678335,0.23112322447221045
gpt-4o-mini,A2,-2,20,0.27271412602795847,0.1998226744471478,0.3425048470181812
gpt-4o-mini,A2,-1,20,0.22723594091032412,0.1575808610739475,0.30996296005869145
gpt-4o-mini,A2,0,20,0.34032849186594816,0.25013898744451857,0.4301036304168092
gpt-4o-mini,A2,1,20,0.24977842859298807,0.17369817767273027,0.35444073137152365
gpt-4o-mini,A2,2,15,0.22832863651069893,0.14740013136995442,0.3283934642148624
gpt-4o-mini,A2,3,13,0.17220051010365042,0.11570380365691295,0.23655160191688585
gpt-4o-mini,A2,4,13,0.19909480848925823,0.10831545176577903,0.2999516951794945
gpt-4o-mini,A2,5,13,0.12811179559488858,0.06476073628563273,0.2083448373790234
gpt-4o-mini,A2,6,11,0.22870153673383065,0.11596963134285804,0.35470169119257006
gpt-4o-mini,A2,7,11,0.3044623192541598,0.19086000657512242,0.4206258192579963
gpt-4o-mini,A2,8,8,0.27043489462062115,0.10263118833544065,0.5533267721361634
gpt-4o-mini,A2,9,7,0.18684896591325334,0.09972635706927378,0.2909502178285127
gpt-4o-mini,A2,10,5,0.24920173193850148,0.08932132361115233,0.3969177974669135
gpt-4o-mini,A2,11,4,0.30782319110835077,0.16288462727859718,0.45276175493810433
gpt-4o-mini,A2,12,3,0.2951897689507753,0.1512537170449109,0.5103358728378251
gpt-4o-mini,A2,13,2,0.31375294677963395,0.09127987846220326,0.5362260150970647
gpt-4o-mini,A2,14,2,0.060183094083283234,0.019853057706538828,0.10051313046002765
gpt-4o-mini,A2,15,1,0.01474910179435886,0.01474910179435886,0.01474910179435886
gpt-4o-mini,A2,16,1,0.23817328280167402,0.23817328280167402,0.23817328280167402
gpt-4o-mini,A2,17,1,0.07136092442157263,0.07136092442157263,0.07136092442157263
gpt-4o-mini,A2,18,1,0.00474233111389653,0.00474233111389653,0.00474233111389653
llama-3.3-70b,A1,-8,18,0.00011428448803930819,0.00010223525010369986,0.00012861669946332782
llama-3.3-70b,A1,-7,18,0.31507527027200183,0.2685221221510895,0.35261102586321424
llama-3.3-70b,A1,-6,20,0.018106783752980547,0.00025401134663109417,0.05378158689801772
llama-3.3-70b,A1,-5,20,0.2762374125685873,0.22099806847096248,0.3313789397351383
llama-3.3-70b,A1,-4,20,0.01018373820505478,0.000339430501052406,0.02983874548901936
llama-3.3-70b,A1,-3,20,0.35988489842958243,0.3058864714800279,0.4119349001398793
llama-3.3-70b,A1,-2,18,0.017667923611290094,0.0004607732676068605,0.05201847034254406
llama-3.3-70b,A1,-1,18,0.3102215273661408,0.2162547950237657,0.4087681230754587
llama-3.3-70b,A1,0,20,0.06673807010615138,0.013963374278058362,0.13886382964967295
llama-3.3-70b,A1,1,18,0.30224490028936407,0.21049612505461138,0.3937722887263019
llama-3.3-70b,A1,2,19,0.08850778232056879,0.016234654477506598,0.1810742164960683
llama-3.3-70b,A1,3,20,0.2791541494348618,0.19577518078677023,0.3617096715024463
llama-3.3-70b,A1,4,20,0.0590961528483062,0.014071029424896481,0.11130711553178325
llama-3.3-70b,A1,5,20,0.3172999901176221,0.21914700432004844,0.3952391163841064
llama-3.3-70b,A1,6,19,0.06081789819450185,0.01485017904452482,0.11030623506613671
llama-3.3-70b,A1,7,20,0.2863000035128899,0.17643225435856735,0.39852687802796666
llama-3.3-70b,A1,8,19,0.10750766073344507,0.029498015706449537,0.1940560877364664
llama-3.3-70b,A1,9,18,0.164797592295779,0.09322386098471261,0.24753910883479344
llama-3.3-70b,A1,10,16,0.09540701114352597,0.02562854837117673,0.17758692341915788
llama-3.3-70b,A1,11,13,0.19819087570604668,0.0971965518009624,0.2921024642533435
llama-3.3-70b,A1,12,12,0.17432843651231886,0.07904122239197915,0.25772489361526324
llama-3.3-70b,A1,13,11,0.06824503074796395,0.0005397098639568741,0.16647037523511896
llama-3.3-70b,A1,14,10,0.1418663153160451,0.05986454261843522,0.23213371074540745
llama-3.3-70b,A1,15,7,0.1369763137186247,0.032173681447956765,0.2602804820265598
llama-3.3-70b,A1,16,4,0.18508828057688465,0.0006210705171844026,0.3695554906365849
llama-3.3-70b,A1,17,5,0.028136311327988026,0.00030242295323538803,0.08342425936004932
llama-3.3-70b,A1,18,5,0.14068940471077634,0.012422240155210802,0.2820289156706292
llama-3.3-70b,A1,19,4,0.06683825684636154,0.0004744457153273633,0.1991355349517724
llama-3.3-70b,A1,20,4,0.10054136198754356,0.0007214061708167281,0.20094904079024875
llama-3.3-70b,A1,21,4,0.26944401707638865,0.13173009631291216,0.4071579378398651
llama-3.3-70b,A2,-8,18,8.546447959510427e-05,8.189620553079531e-05,8.945327239249983e-05
llama-3.3-70b,A2,-7,19,0.15753775435154163,0.1281183136962854,0.18158602369204016
llama-3.3-70b,A2,-6,19,0.009613839394735974,0.00038403521750535885,0.02802713910843485
llama-3.3-70b,A2,-5,19,0.2960047608180345,0.22857600654307342,0.3605824090451815
llama-3.3-70b,A2,-4,20,0.011205092155414927,0.000460514235422211,0.032633664257024214
llama-3.3-70b,A2,-3,20,0.3654748746158783,0.2767220245280941,0.4597122577039003
llama-3.3-70b,A2,-2,20,0.014349323743276259,0.0005693941323049582,0.04183337568224838
llama-3.3-70b,A2,-1,19,0.414858636877143,0.3383241484902397,0.4972906467837481
llama-3.3-70b,A2,0,19,0.02351453775203382,0.0006324596391749828,0.09189845222126937
llama-3.3-70b,A2,1,19,0.3643019684920803,0.2774752716230511,0.4494878923184757
llama-3.3-70b,A2,2,19,0.049366794384143174,0.0005868466561271096,0.13000096640174758
llama-3.3-70b,A2,3,20,0.3241952680817021,0.23619416465830287,0.3974808021834278
llama-3.3-70b,A2,4,19,0.03726809445437893,0.008017137500838965,0.08143674167047313
llama-3.3-70b,A2,5,20,0.27866780349476944,0.19745430701612562,0.3598208330199307
llama-3.3-70b,A2,6,19,0.0717670449892542,0.022710434912857524,0.1322785564659547
llama-3.3-70b,A2,7,19,0.23526798103026106,0.14151491130671082,0.35068784969170785
llama-3.3-70b,A2,8,17,0.08264468048330144,0.017702840852288588,0.17495921461825104
llama-3.3-70b,A2,9,17,0.19541904946762634,0.11110382797792275,0.27368139785482526
llama-3.3-70b,A2,10,15,0.07958175582387056,0.015773673381018604,0.15867136477916735
llama-3.3-70b,A2,11,13,0.22354477126696023,0.12402199761971155,0.32395982193575995
llama-3.3-70b,A2,12,8,0.09900410497077033,0.013115001068250682,0.21199155446599224
llama-3.3-70b,A2,13,7,0.15249042885831632,0.05482199851324579,0.2587480443735536
llama-3.3-70b,A2,14,5,0.03315793476757933,0.000522356648834813,0.09799664108214931
llama-3.3-70b,A2,15,2,0.08949402128783142,0.049262712856429074,0.12972532971923376
llama-3.3-70b,A2,16,1,0.00034290287262026984,0.00034290287262026984,0.00034290287262026984
llama-3.3-70b,A2,17,1,0.2191019544561251,0.2191019544561251,0.2191019544561251
llama-3.3-70b,A2,18,1,0.0005007274133252275,0.0005007274133252275,0.0005007274133252275
llama-3.3-70b,A2,19,1,0.09823476403559969,0.09823476403559969,0.09823476403559969
llama-3.3-70b,A2,20,1,0.0003458328977583196,0.0003458328977583196,0.0003458328977583196
llama-3.3-70b,A2,21,1,0.06568554640618836,0.06568554640618836,0.06568554640618836
qwen3-235b,A1,-7,20,0.44503601743853705,0.439006416262295,0.4506302192352092
qwen3-235b,A1,-6,20,0.43289866663696325,0.4206238407396844,0.4460062594535957
qwen3-235b,A1,-5,20,0.04571345912269062,0.04195916239055807,0.049104545396498375
qwen3-235b,A1,-4,20,0.5706067437974883,0.5399090872825898,0.6067318072767509
qwen3-235b,A1,-3,20,0.14973855491274587,0.06471185004501528,0.24617724564172572
qwen3-235b,A1,-2,20,0.2626873785099367,0.19810600788644114,0.32968361841707133
qwen3-235b,A1,-1,20,0.28239097646822836,0.2075089725132453,0.37311942712085894
qwen3-235b,A1,0,20,0.25876954527485024,0.1993214279075935,0.3284827103071994
qwen3-235b,A1,1,20,0.5312540046150296,0.48127023476397024,0.5826789662264509
qwen3-235b,A1,2,15,0.3383257716638679,0.1869497341735256,0.4894812900222509
qwen3-235b,A1,3,15,0.5745278086061889,0.4996183282442161,0.6486136934684531
qwen3-235b,A1,4,13,0.47861043782393053,0.36436404608049033,0.5820486373681492
qwen3-235b,A1,5,12,0.4470726352233622,0.3228407228816547,0.5703074812898267
qwen3-235b,A1,6,7,0.45747883020691993,0.3530379127886569,0.5401749304003592
qwen3-235b,A1,7,6,0.2454277920232374,0.09827024844403821,0.41253610015257525
qwen3-235b,A1,8,5,0.45067594804653965,0.2170014186135953,0.6117833859908852
qwen3-235b,A1,9,4,0.4474134733562021,0.14582653933540082,0.7490004073770034
qwen3-235b,A1,10,4,0.5951223874393219,0.37593206121843603,0.8143127136602077
qwen3-235b,A1,11,4,0.6085803728442755,0.46337580330341355,0.7537849423851374
qwen3-235b,A1,12,4,0.48123823729805315,0.18038758919785478,0.7820888853982515
qwen3-235b,A1,13,4,0.47182707244607724,0.28007237588755385,0.6219648764154955
qwen3-235b,A1,14,4,0.4287226723469557,0.25248852470840427,0.5974042623184679
qwen3-235b,A1,15,4,0.5412440456883689,0.22289099547397856,0.7500486906971285
