model,agent,turn_minus_tau_read,n,tokH_mean,tokH_ci_low,tokH_ci_high
gpt-4o-mini,A1,-24,1,2.0609674450238167e-05,2.0609674450238167e-05,2.0609674450238167e-05
gpt-4o-mini,A1,-23,1,0.3433509358655616,0.3433509358655616,0.3433509358655616
gpt-4o-mini,A1,-22,2,0.0688822155288698,1.604725577843586e-05,0.13774838380196117
gpt-4o-mini,A1,-21,2,0.21275823839797026,0.11106370189906431,0.31445277489687623
gpt-4o-mini,A1,-20,3,0.16177013146198507,2.2068972179046148e-05,0.3484697959311831
gpt-4o-mini,A1,-19,3,0.35980187113639583,0.35019649663643887,0.374193835610564
gpt-4o-mini,A1,-18,4,0.2333488291635978,0.06609711561285962,0.41172546741386634
gpt-4o-mini,A1,-17,4,0.30048808933154286,0.23876785413367427,0.3429509535898635
gpt-4o-mini,A1,-16,6,0.12892938350608982,0.030786782445254884,0.2306056845875559
gpt-4o-mini,A1,-15,7,0.2480812188798428,0.1491280596964877,0.31758099169050696
gpt-4o-mini,A1,-14,9,0.24718112538992457,0.1442993926483603,0.34783596356536983
gpt-4o-mini,A1,-13,11,0.24479840595305352,0.15532220647151154,0.3162860567530159
gpt-4o-mini,A1,-12,12,0.2284252514409352,0.1473829658337109,0.30511360545024485
gpt-4o-mini,A1,-11,13,0.3430317293444886,0.24600026145955148,0.4453049581926399
gpt-4o-mini,A1,-10,16,0.24263641452887288,0.17100927684933223,0.32058416594549166
gpt-4o-mini,A1,-9,18,0.29778193024885197,0.23888072475723077,0.3465895792537452
gpt-4o-mini,A1,-8,18,0.3070171998810676,0.26092490338090435,0.3518155974820817
gpt-4o-mini,A1,-7,20,0.23945135752283025,0.18100173426944888,0.2922128106631676
gpt-4o-mini,A1,-6,20,0.2698500631736435,0.22902237189632454,0.3105802863765381
gpt-4o-mini,A1,-5,20,0.2617085057814314,0.21676862225640733,0.30417246315918484
gpt-4o-mini,A1,-4,20,0.2914462203242617,0.2530732792934375,0.32411823982188853
gpt-4o-mini,A1,-3,20,0.33968426525485124,0.28503892360182426,0.40347410367964953
gpt-4o-mini,A1,-2,20,0.2916589285766168,0.24689655623219825,0.3276200171454579
gpt-4o-mini,A1,-1,20,0.28255566353528777,0.23501272453655248,0.32603107059826675
gpt-4o-mini,A1,0,20,0.31192615133148993,0.2481266513300032,0.3678515763966734
gpt-4o-mini,A1,1,20,0.24925279244875606,0.19270743373499455,0.30581917636236894
gpt-4o-mini,A1,2,14,0.25828011048268373,0.1734257437913844,0.328841347674535
gpt-4o-mini,A1,3,13,0.24910408762745354,0.16827868872146928,0.33773765053202476
gpt-4o-mini,A1,4,11,0.268769627032491,0.19711647431144863,0.33779632597512865
gpt-4o-mini,A1,5,11,0.25430637954366986,0.17491028184035973,0.32225015793906947
gpt-4o-mini,A1,6,8,0.2719302661507682,0.20900541277101858,0.3466662319970483
gpt-4o-mini,A1,7,7,0.3098946635512253,0.19699778931779047,0.3775530439326867
gpt-4o-mini,A1,8,5,0.4535839608561578,0.32039173045029057,0.6388294094338587
gpt-4o-mini,A1,9,5,0.18004872509075356,0.014534727579095701,0.3774125152816748
gpt-4o-mini,A1,10,5,0.19346092802787893,0.08842568844406698,0.2798061701583905
gpt-4o-mini,A1,11,4,0.2791366997562942,0.18250897502115815,0.39009619168799065
gpt-4o-mini,A1,12,4,0.14097478282704523,0.052947251380302374,0.25058310888210966
gpt-4o-mini,A1,13,2,0.012714449439264024,0.004774547483976735,0.020654351394551313
gpt-4o-mini,A1,14,2,0.14710976181906552,0.0011690015878645602,0.2930505220502665
gpt-4o-mini,A1,15,2,0.14208066622256738,0.010485886792974599,0.2736754456521602
gpt-4o-mini,A1,16,2,0.09347344060444954,0.022805746897585882,0.1641411343113132
gpt-4o-mini,A1,17,1,0.0179924314090503,0.0179924314090503,0.0179924314090503
gpt-4o-mini,A2,-24,1,0.00028727183829746174,0.00028727183829746174,0.00028727183829746174
gpt-4o-mini,A2,-23,1,0.10155687813696779,0.10155687813696779,0.10155687813696779
gpt-4o-mini,A2,-22,2,0.06396782316051579,0.00028329537572009634,0.1276523509453115
gpt-4o-mini,A2,-21,2,0.16890008943630405,0.10229840344171857,0.23550177543088952
gpt-4o-mini,A2,-20,3,0.16597062418933808,0.00026150571801615666,0.38509668311542256
gpt-4o-mini,A2,-19,3,0.06939411083886969,0.04059868639862942,0.09835680981775687
gpt-4o-mini,A2,-18,4,0.18889876022775876,0.060546588654974545,0.33301693860004583
gpt-4o-mini,A2,-17,4,0.17925917413209685,0.13381105213707464,0.23031576772018955
gpt-4o-mini,A2,-16,6,0.09010536839739729,0.02017884320035392,0.15986470595446073
gpt-4o-mini,A2,-15,7,0.11543650149356098,0.059287043751321884,0.17132103095645868
gpt-4o-mini,A2,-14,9,0.09575326951815027,0.04930815840022151,0.1484559382705412
gpt-4o-mini,A2,-13,11,0.14627403680771564,0.07729864437556394,0.23095827122806886
gpt-4o-mini,A2,-12,12,0.13620040635958264,0.09197622248548659,0.18320297182778278
gpt-4o-mini,A2,-11,13,0.20772228184164904,0.11619700711556522,0.328616099608971
gpt-4o-mini,A2,-10,16,0.1297208171741191,0.08804976373263343,0.1718430204372057
gpt-4o-mini,A2,-9,18,0.18207645968093789,0.11898415960968857,0.2574736787278351
gpt-4o-mini,A2,-8,18,0.18859480685497515,0.11661920193700492,0.2628319159851935
gpt-4o-mini,A2,-7,20,0.15255337516547623,0.10364469848383533,0.21746129710973605
gpt-4o-mini,A2,-6,20,0.14876274864708044,0.10306933079790004,0.20436334257186362
gpt-4o-mini,A2,-5,20,0.19647565221575825,0.14230755054312944,0.2552398544747917
gpt-4o-mini,A2,-4,20,0.16493460536645838,0.11719237647471573,0.22082344906731483
gpt-4o-mini,A2,-3,20,0.14235344281541368,0.1118681354703924,0.17468781789755816
gpt-4o-mini,A2,-2,20,0.13539022195155473,0.08925909812929456,0.19305482754533368
gpt-4o-mini,A2,-1,20,0.1752183213316868,0.14869053439400742,0.20011075562005248
gpt-4o-mini,A2,0,20,0.34337541923099946,0.23984848668852415,0.4508040783954843
gpt-4o-mini,A2,1,20,0.17465846087479578,0.13973079005351788,0.2178917956131111
gpt-4o-mini,A2,2,16,0.24469894875014406,0.1672534351167439,0.3402210354712304
gpt-4o-mini,A2,3,16,0.11889014808203903,0.08991376659045626,0.14724771280988275
gpt-4o-mini,A2,4,13,0.19012450924380855,0.1456666330894568,0.2689172407039203
gpt-4o-mini,A2,5,12,0.10921630082252502,0.08594601979766245,0.13504658440607786
gpt-4o-mini,A2,6,8,0.13329623021713938,0.08904798196605795,0.17788047332372314
gpt-4o-mini,A2,7,8,0.125624359563958,0.09068777723395785,0.15885729248676808
gpt-4o-mini,A2,8,7,0.1641639943770126,0.11050369775165464,0.21105218321990135
gpt-4o-mini,A2,9,6,0.22816809476190708,0.10068130952792177,0.42350745195027484
gpt-4o-mini,A2,10,5,0.10541087770625587,0.07360926595314163,0.13109375671094126
gpt-4o-mini,A2,11,4,0.040957446025802945,0.03646370085493404,0.0458604586467899
gpt-4o-mini,A2,12,4,0.29133322036856135,0.04889290622877451,0.5181153383690751
gpt-4o-mini,A2,13,2,0.1500473665955259,0.10818004679641131,0.1919146863946405
gpt-4o-mini,A2,14,2,0.07172528633858194,0.049301347941843175,0.09414922473532071
gpt-4o-mini,A2,15,2,0.3172392023392072,0.21809281273536602,0.4163855919430484
gpt-4o-mini,A2,16,2,0.1169777251480889,0.1113689379185169,0.1225865123776609
gpt-4o-mini,A2,17,1,0.09005760133594651,0.09005760133594651,0.09005760133594651
llama-3.3-70b,A1,-9,1,0.0001660233674329472,0.0001660233674329472,0.0001660233674329472
llama-3.3-70b,A1,-8,15,0.01842941827267697,0.00010644353268294141,0.055069965504207744
llama-3.3-70b,A1,-7,16,0.29068331753730664,0.20987902943936945,0.357939070727307
llama-3.3-70b,A1,-6,18,0.04145382780036755,0.00021828680791946155,0.10615630422942533
llama-3.3-70b,A1,-5,20,0.30473140872114396,0.20809305525835675,0.3907334305698486
llama-3.3-70b,A1,-4,20,0.07116350127661032,0.012175448147151107,0.13877401481391133
llama-3.3-70b,A1,-3,19,0.29753915420251864,0.2084812606139202,0.37894212147477885
llama-3.3-70b,A1,-2,20,0.07589895700609844,0.009529062503369736,0.15366343545034447
llama-3.3-70b,A1,-1,16,0.3150560432980204,0.23879645558627063,0.3670393174381701
llama-3.3-70b,A1,0,19,0.04369006812230458,0.000468736442734373,0.11207297151563668
llama-3.3-70b,A1,1,20,0.3764447833887572,0.2867140609663452,0.45988821582942024
llama-3.3-70b,A1,2,18,0.05835914699287491,0.0006026590917238316,0.12751287559914334
llama-3.3-70b,A1,3,19,0.3178975956295934,0.2238143927600975,0.4084672844532144
llama-3.3-70b,A1,4,20,0.06565804017591075,0.017652291402965096,0.1228538737795896
llama-3.3-70b,A1,5,20,0.3066474845204134,0.22440983785041832,0.3954566295503839
llama-3.3-70b,A1,6,18,0.08431933576020881,0.020481012778500184,0.1711833851267774
llama-3.3-70b,A1,7,17,0.2056581966534384,0.12589407241359027,0.2829880161260826
llama-3.3-70b,A1,8,19,0.06178756076372678,0.018029098515716522,0.10909226281893397
llama-3.3-70b,A1,9,17,0.16470649695523587,0.10083545023063344,0.2418981466269425
llama-3.3-70b,A1,10,16,0.08679980300042062,0.01471000329792296,0.16282272624059727
llama-3.3-70b,A1,11,17,0.13480587738175331,0.07303507637373706,0.18954505792580043
llama-3.3-70b,A1,12,7,0.13220921437516228,0.043921594320155403,0.2259067535212516
llama-3.3-70b,A1,13,3,0.026636342775523215,0.0003386857614257832,0.07918861021482225
