model,condition,variant,post_H_system,post_I,post_I_excess,post_turns_sig,post_turns,pre_H_system,pre_I
gpt-4o-mini,base,active_only,2.5766946425634645,0.07140215815304914,0.008702279617376884,0,13,1.690415209519555,0.03705316322749712
gpt-4o-mini,base,all_states,2.5766946425634645,0.07140215815304914,0.008223216980160044,0,13,1.690415209519555,0.03705316322749712
gpt-4o-mini,placebo,active_only,2.7580776347401095,0.09036302068324271,-0.03321361666979889,0,13,1.6295342816013438,0.0441678705918254
gpt-4o-mini,placebo,all_states,3.079865065801005,0.16458674717416685,-0.024240205711285413,0,13,1.6295342816013438,0.0441678705918254
gpt-4o-mini,switch,active_only,2.832304356589314,0.1912777473170044,0.012010344445774661,2,11,1.5361920556643704,0.022223828876101106
gpt-4o-mini,switch,all_states,3.2099619727405857,0.3480993700976054,0.09840948565352937,5,13,1.5361920556643704,0.022223828876101106
llama-3.3-70b,base,active_only,0.19814161617630016,0.00036500902221190675,-0.00012372175150638507,2,13,0.406229374025563,0.00022996691931846254
llama-3.3-70b,base,all_states,0.19814161617630016,0.00036500902221190675,-0.0001227449242649201,2,13,0.406229374025563,0.00022996691931846254
llama-3.3-70b,placebo,active_only,0.2508427276474044,0.0004032490733183783,-0.0009844707511852241,0,13,0.47320891801133264,0.002722506516434823
llama-3.3-70b,placebo,all_states,0.2508427276474044,0.0004032490733183783,-0.001047687854341158,0,13,0.47320891801133264,0.002722506516434823
llama-3.3-70b,switch,active_only,0.16087805390490545,5.337643019972193e-05,-4.2046351882453524e-05,0,13,0.31351518837252673,0.0008086838477739941
llama-3.3-70b,switch,all_states,0.49163512340307436,0.021726270321706036,0.008654696795937257,0,13,0.31351518837252673,0.0008086838477739941
qwen3-235b,base,active_only,1.2877984637730604,0.0013188107705252331,0.0003616751136645485,3,13,1.1873996023300921,0.0030610677003204095
qwen3-235b,base,all_states,1.2877984637730604,0.0013188107705252331,0.00036614984538229126,3,13,1.1873996023300921,0.0030610677003204095
qwen3-235b,placebo,active_only,2.486976406229625,0.030841654175379256,0.005794920528970246,0,7,1.1549531309087084,0.0008338527924685053
qwen3-235b,placebo,all_states,2.901137741176067,0.3064256959363711,0.18365306751033209,7,13,1.2593749640584881,0.0019104601092835463
qwen3-235b,switch,active_only,2.465423158283349,0.033377856679277146,0.014376915211651254,1,9,1.151344695083798,0.000656411400193052
qwen3-235b,switch,all_states,2.6350720847654663,0.07427688418984334,0.02259329216197036,1,13,1.151344695083798,0.000656411400193052
