model,read_returned,n,H,H_adj,H_decision
gpt-4o-mini,own entries only,110,0.15009886890751165,0.16197629601290092,0.3707663585860077
gpt-4o-mini,peer entries,53,0.2066655297552767,0.25709418212981733,0.5766740147944265
gpt-4o-mini,placebo entries,89,0.26696040073682703,0.2829405493885165,0.5966097383335255
llama-3.3-70b,own entries only,481,0.3021726808344843,0.17278041064473557,0.09064403134956667
llama-3.3-70b,peer entries,256,0.2823044409318567,0.16956997656587186,0.03577293469128859
llama-3.3-70b,placebo entries,382,0.2800558319303754,0.12193478962865519,0.05881698837953358
qwen3-235b,own entries only,959,0.3036431352495628,0.33696892025692116,0.5977734479176942
qwen3-235b,peer entries,305,0.5066119795016273,0.5091155436947684,1.0699365895102424
qwen3-235b,placebo entries,302,0.4810843280871401,0.4826407902568167,0.9800649152524684
