model,term,coef,ci_low,ci_high,p,n_calls,n_runs
gpt-4o-mini,C(condition)[T.switch],-1.9778324417769892e-16,-5848852.668373069,5848852.668373069,1.0,2212,60
gpt-4o-mini,C(condition)[T.placebo],-9.471850459341536e-19,-3362862.9781571315,3362862.9781571315,1.0,2212,60
gpt-4o-mini,post,0.045155803360757724,0.011021112551007767,0.07929049417050768,0.009520361156137745,2212,60
gpt-4o-mini,C(condition)[T.switch]:post,0.010498088725305811,-0.039563365515879,0.060559542966490625,0.6810634810449309,2212,60
gpt-4o-mini,C(condition)[T.placebo]:post,-0.023457011887175715,-0.07261228307601239,0.02569825930166096,0.3496339947354953,2212,60
gpt-4o-mini,C(condition)[T.switch]:post [OLS cluster-robust],0.010961532501869176,-0.037779166785978154,0.0597022317897165,0.6593680628282579,2212,60
gpt-4o-mini,C(condition)[T.placebo]:post [OLS cluster-robust],-0.023292213160249972,-0.06853391250947545,0.021949486188975506,0.3129425763855277,2212,60
llama-3.3-70b,C(condition)[T.switch],-3.2812392410459513e-15,,,,2289,60
llama-3.3-70b,C(condition)[T.placebo],-3.2487584771068446e-16,-1401702.4333444794,1401702.4333444794,1.0,2289,60
llama-3.3-70b,post,-0.0005154908759867349,-0.016660375891938566,0.015629394139965096,0.9501011212660351,2289,60
llama-3.3-70b,C(condition)[T.switch]:post,0.02774669042033212,0.004932117445558482,0.05056126339510576,0.017140759772050953,2289,60
llama-3.3-70b,C(condition)[T.placebo]:post,0.0008568968001212429,-0.02179370720868146,0.023507500808923946,0.9408929773550427,2289,60
llama-3.3-70b,C(condition)[T.switch]:post [OLS cluster-robust],0.027275846594688152,0.007867088728544306,0.046684604460832,0.005879805687716424,2289,60
llama-3.3-70b,C(condition)[T.placebo]:post [OLS cluster-robust],0.00031938843670026524,-0.021119436718546044,0.021758213591946577,0.9767059689059459,2289,60
qwen3-235b,C(condition)[T.switch],3.66850416084344e-15,-5103661.117476718,5103661.117476718,1.0,1979,60
qwen3-235b,C(condition)[T.placebo],7.760228766157652e-16,-3341130.48460571,3341130.48460571,1.0,1979,60
qwen3-235b,post,0.019237409040143087,-0.0067700684956054046,0.04524488657589158,0.14712515460811315,1979,60
qwen3-235b,C(condition)[T.switch]:post,0.13192973559034407,0.09477451993779717,0.16908495124289097,3.417561556179958e-12,1979,60
qwen3-235b,C(condition)[T.placebo]:post,0.12720453462128622,0.08916895373964465,0.1652401155029278,5.570981474426764e-11,1979,60
qwen3-235b,C(condition)[T.switch]:post [OLS cluster-robust],0.13383779907297397,0.08945697302023885,0.17821862512570907,3.4086591971204605e-09,1979,60
qwen3-235b,C(condition)[T.placebo]:post [OLS cluster-robust],0.12455009763970035,0.08312661782529959,0.1659735774541011,3.78961665095306e-09,1979,60
