model,action,n,H,tokens
gpt-4o-mini,decrypt,1526,0.21694541160373815,20.862385321100916
gpt-4o-mini,read_log,324,0.35804046469206746,2.0
gpt-4o-mini,submit,46,0.1273856311896296,166.95652173913044
gpt-4o-mini,write_log,982,0.2515991503339055,78.21283095723014
llama-3.3-70b,decrypt,244,0.00011825144761644524,3.389344262295082
llama-3.3-70b,read_log,1363,0.0006508643554957585,1.0234776228906823
llama-3.3-70b,submit,76,0.2043961305105919,50.13157894736842
llama-3.3-70b,write_log,1413,0.3250664756060114,33.02972399150743
qwen3-235b,decrypt,132,0.49094324218725566,18.295454545454547
qwen3-235b,read_log,1972,0.32090644565030807,2.0
qwen3-235b,submit,65,0.45862078088585356,173.76923076923077
qwen3-235b,write_log,356,0.5160466520657956,89.25280898876404
