model,condition,turn,variant,n_pairs,H1,H2,sum_H,I,H_system,I_null_mean,I_null_95,I_excess,p_perm
gpt-4o-mini,base,1,all_states,20,0.00024037381024758585,0.0024689567605731167,0.0027093305708207026,1.9560140262163356e-13,0.0027093305706251012,1.770213397331351e-12,5.434399110291166e-12,-1.5746119947097176e-12,1.0
gpt-4o-mini,base,1,active_only,20,0.00024037381024758585,0.0024689567605731167,0.0027093305708207026,1.9560140262163356e-13,0.0027093305706251012,1.947663540333785e-12,6.4145230843274604e-12,-1.7520621377121514e-12,1.0
gpt-4o-mini,base,2,all_states,20,0.03790144415090746,0.0002161142162078102,0.03811755836711527,5.621291408215737e-11,0.038117558310902355,4.073975118544729e-09,1.0345203576599949e-08,-4.017762204462572e-09,0.983016983016983
gpt-4o-mini,base,2,active_only,20,0.03790144415090746,0.0002161142162078102,0.03811755836711527,5.621291408215737e-11,0.038117558310902355,3.8655963648602576e-09,1.028718184214959e-08,-3.8093834507781e-09,0.981018981018981
gpt-4o-mini,base,3,all_states,20,0.8204081940882426,0.9537313714617863,1.774139565550029,0.013712407309390535,1.7604271582406383,0.014729814724997141,0.03971084060524353,-0.001017407415606606,0.43656343656343655
gpt-4o-mini,base,3,active_only,20,0.8204081940882426,0.9537313714617863,1.774139565550029,0.013712407309390535,1.7604271582406383,0.014832763418816732,0.0422685489209628,-0.0011203561094261967,0.4035964035964036
gpt-4o-mini,base,4,all_states,20,0.6699165057085318,1.4501564557381792,2.120072961446711,0.028920604743709756,2.0911523567030015,0.02514065838431357,0.06487856488662723,0.0037799463593961857,0.34765234765234765
gpt-4o-mini,base,4,active_only,20,0.6699165057085318,1.4501564557381792,2.120072961446711,0.028920604743709756,2.0911523567030015,0.026608334046930367,0.06919122195779119,0.0023122706967793893,0.35764235764235763
gpt-4o-mini,base,5,all_states,20,1.1307662434772303,1.307249580132926,2.438015823610156,0.05171282873838784,2.3863029948717682,0.0665716501627706,0.15804671949509613,-0.01485882142438276,0.5494505494505495
gpt-4o-mini,base,5,active_only,20,1.1307662434772303,1.307249580132926,2.438015823610156,0.05171282873838784,2.3863029948717682,0.06345345829310585,0.1555656048082998,-0.01174062955471801,0.5274725274725275
gpt-4o-mini,base,6,all_states,20,1.5206833240538855,1.476232017607021,2.9969153416609062,0.06920110327477136,2.9277142383861348,0.06030907705345185,0.13605933625780384,0.008892026221319509,0.3436563436563437
gpt-4o-mini,base,6,active_only,20,1.5206833240538855,1.476232017607021,2.9969153416609062,0.06920110327477136,2.9277142383861348,0.06026909833924011,0.13884555338898766,0.00893200493553125,0.35064935064935066
gpt-4o-mini,base,7,all_states,20,1.410781048868675,1.3115269791549515,2.7223080280236265,0.09582519846981181,2.6264828295538147,0.061268919605340005,0.16530999266962187,0.03455627886447181,0.2137862137862138
gpt-4o-mini,base,7,active_only,20,1.410781048868675,1.3115269791549515,2.7223080280236265,0.09582519846981181,2.6264828295538147,0.0600368927598425,0.1546356510876417,0.03578830570996931,0.2007992007992008
gpt-4o-mini,base,8,all_states,20,1.4110720915419466,1.5223998021965168,2.9334718937384636,0.11320830480850892,2.8202635889299548,0.07267523391340303,0.1776347150916104,0.0405330708951059,0.17382617382617382
gpt-4o-mini,base,8,active_only,20,1.4110720915419466,1.5223998021965168,2.9334718937384636,0.11320830480850892,2.8202635889299548,0.0714836126244655,0.1627108290113293,0.04172469218404343,0.14885114885114886
gpt-4o-mini,base,9,all_states,20,1.266235739975613,1.4350033723470044,2.701239112322617,0.10872007389889544,2.5925190384237218,0.049711573210269394,0.11998999943217104,0.05900850068862605,0.07192807192807193
gpt-4o-mini,base,9,active_only,20,1.266235739975613,1.4350033723470044,2.701239112322617,0.10872007389889544,2.5925190384237218,0.04911205147021125,0.11485586420539305,0.059608022428684196,0.06593406593406594
gpt-4o-mini,base,10,all_states,20,1.2537397706207571,1.3069138307588828,2.5606536013796397,0.06255616219960675,2.498097439180033,0.08328457017876127,0.18127076299583772,-0.020728407979154526,0.5894105894105894
gpt-4o-mini,base,10,active_only,20,1.2537397706207571,1.3069138307588828,2.5606536013796397,0.06255616219960675,2.498097439180033,0.08096073063340589,0.18011059962487802,-0.018404568433799146,0.5774225774225774
gpt-4o-mini,base,11,all_states,20,1.4497315924368566,1.3364600196844536,2.78619161212131,0.05025895924033017,2.73593265288098,0.0694854457310551,0.17085112431222355,-0.019226486490724927,0.5924075924075924
gpt-4o-mini,base,11,active_only,20,1.4497315924368566,1.3364600196844536,2.78619161212131,0.05025895924033017,2.73593265288098,0.06811737001084228,0.15260292543157736,-0.01785841077051211,0.5834165834165834
gpt-4o-mini,base,12,all_states,20,1.2546277220091497,1.4406942776545884,2.6953219996637383,0.10442714743534608,2.5908948522283923,0.059489628449893944,0.13678934085344285,0.04493751898545213,0.13486513486513488
gpt-4o-mini,base,12,active_only,20,1.2546277220091497,1.4406942776545884,2.6953219996637383,0.10442714743534608,2.5908948522283923,0.06009631236414271,0.13745818971025262,0.04433083507120337,0.11788211788211789
gpt-4o-mini,base,13,all_states,20,1.1983100907046196,1.3002070405871262,2.498517131291746,0.05637842010467396,2.4421387111870723,0.046661061330687315,0.1415770937584509,0.009717358773986648,0.2647352647352647
gpt-4o-mini,base,13,active_only,20,1.1983100907046196,1.3002070405871262,2.498517131291746,0.05637842010467396,2.4421387111870723,0.04633619327441969,0.1378654322196712,0.01004222683025427,0.26673326673326675
gpt-4o-mini,base,14,all_states,20,1.3475410617330752,1.2823016301564918,2.629842691889567,0.05598648917637087,2.573856202713196,0.06272673162910411,0.1642656397910506,-0.00674024245273324,0.4405594405594406
gpt-4o-mini,base,14,active_only,20,1.3475410617330752,1.2823016301564918,2.629842691889567,0.05598648917637087,2.573856202713196,0.06199871807712282,0.15770262787888617,-0.006012228900751954,0.4515484515484515
gpt-4o-mini,base,15,all_states,20,1.2227775468504185,1.2626819267418832,2.485459473592302,0.030198978762319244,2.4552604948299828,0.05218415417526453,0.13995866749001395,-0.021985175412945285,0.5884115884115884
gpt-4o-mini,base,15,active_only,20,1.2227775468504185,1.2626819267418832,2.485459473592302,0.030198978762319244,2.4552604948299828,0.05148419369819657,0.14653729394009332,-0.021285214935877324,0.5704295704295704
gpt-4o-mini,base,16,all_states,20,1.1839121812915967,1.4320916796219043,2.616003860913501,0.1327207269569899,2.483283133956511,0.08097303777227334,0.17069752203771907,0.05174768918471655,0.16083916083916083
gpt-4o-mini,base,16,active_only,20,1.1839121812915967,1.4320916796219043,2.616003860913501,0.1327207269569899,2.483283133956511,0.08108649944135832,0.1768572241818524,0.05163422751563157,0.15284715284715283
gpt-4o-mini,base,17,all_states,20,1.4407837228316815,1.2666958016160181,2.7074795244476997,0.11761513920448015,2.5898643852432195,0.05801143803759482,0.14600558350151807,0.05960370116688533,0.0899100899100899
gpt-4o-mini,base,17,active_only,20,1.4407837228316815,1.2666958016160181,2.7074795244476997,0.11761513920448015,2.5898643852432195,0.05911126889187017,0.15570698015178602,0.05850387031260998,0.09490509490509491
gpt-4o-mini,base,18,all_states,20,1.3182106521700534,1.3318556327784694,2.650066284948523,0.009589292295575145,2.640476992652948,0.049579269307255244,0.14209106844656713,-0.0399899770116801,0.9170829170829171
gpt-4o-mini,base,18,active_only,20,1.3182106521700534,1.3318556327784694,2.650066284948523,0.009589292295575145,2.640476992652948,0.048561705273940915,0.13278776307550402,-0.03897241297836577,0.9150849150849151
gpt-4o-mini,base,19,all_states,20,1.2886294447940243,1.3621839979645787,2.650813442758603,0.028188709787848813,2.6226247329707544,0.052107351946358675,0.12019155857421938,-0.023918642158509862,0.6923076923076923
gpt-4o-mini,base,19,active_only,20,1.2886294447940243,1.3621839979645787,2.650813442758603,0.028188709787848813,2.6226247329707544,0.05309616588257045,0.12503121013630397,-0.024907456094721635,0.6943056943056943
gpt-4o-mini,base,20,all_states,20,1.2682147616969428,1.2419830185500251,2.510197780246968,0.05837965211869336,2.451818128128275,0.08443673956563745,0.18566849776392963,-0.026057087446944092,0.5824175824175825
gpt-4o-mini,base,20,active_only,20,1.2682147616969428,1.2419830185500251,2.510197780246968,0.05837965211869336,2.451818128128275,0.08365359932119273,0.184977110752641,-0.025273947202499376,0.5744255744255744
gpt-4o-mini,base,21,all_states,20,1.3787013714423495,1.38596146151893,2.7646628329612795,0.011255279095483805,2.7534075538657956,0.06641156643066178,0.1475226329141731,-0.05515628733517797,0.951048951048951
gpt-4o-mini,base,21,active_only,20,1.3787013714423495,1.38596146151893,2.7646628329612795,0.011255279095483805,2.7534075538657956,0.0689580898977449,0.1731695378736198,-0.0577028108022611,0.951048951048951
gpt-4o-mini,base,22,all_states,20,1.2137049348408906,1.3474203450786866,2.561125279919577,0.03821573134891268,2.5229095485706643,0.05810924472357418,0.14612363701962594,-0.019893513374661498,0.5784215784215784
gpt-4o-mini,base,22,active_only,20,1.2137049348408906,1.3474203450786866,2.561125279919577,0.03821573134891268,2.5229095485706643,0.057923982699288896,0.1541080916786263,-0.019708251350376217,0.5644355644355644
gpt-4o-mini,base,23,all_states,20,1.343052067624432,1.3217092782811168,2.664761345905549,0.07467897950971114,2.590082366395838,0.0646740696498307,0.1641914722695129,0.010004909859880437,0.3336663336663337
gpt-4o-mini,base,23,active_only,20,1.343052067624432,1.3217092782811168,2.664761345905549,0.07467897950971114,2.590082366395838,0.06476306639140231,0.16159784212143533,0.009915913118308833,0.32367632367632365
gpt-4o-mini,base,24,all_states,20,1.3953226298185402,1.1168132540370195,2.5121358838555596,0.015854422238528038,2.4962814616170315,0.05092546204239282,0.1580177469169817,-0.035071039803864786,0.7722277722277723
gpt-4o-mini,base,24,active_only,20,1.3953226298185402,1.1168132540370195,2.5121358838555596,0.015854422238528038,2.4962814616170315,0.05284374747939081,0.16260286887736633,-0.03698932524086277,0.7882117882117882
gpt-4o-mini,base,25,all_states,20,1.4278423923156183,1.226187505665677,2.654029897981295,0.0672683329565885,2.5867615650247067,0.05884809779602628,0.1370842224854966,0.008420235160562221,0.34765234765234765
gpt-4o-mini,base,25,active_only,20,1.4278423923156183,1.226187505665677,2.654029897981295,0.0672683329565885,2.5867615650247067,0.05896823023127222,0.14091704945845185,0.008300102725316283,0.3276723276723277
gpt-4o-mini,base,26,all_states,20,1.4520720726162522,1.2344605718538575,2.68653264447011,0.04694076295786206,2.639591881512248,0.05716337894074192,0.14461856554117303,-0.010222615982879865,0.4865134865134865
gpt-4o-mini,base,26,active_only,20,1.4520720726162522,1.2344605718538575,2.68653264447011,0.04694076295786206,2.639591881512248,0.06005459036091954,0.15457812292776338,-0.013113827403057485,0.4945054945054945
gpt-4o-mini,base,27,all_states,20,1.51935127615916,1.4204340088117053,2.939785284970865,0.16657440916366975,2.7732108758071954,0.0821110248666295,0.19363976984358722,0.08446338429704026,0.08291708291708291
gpt-4o-mini,base,27,active_only,20,1.51935127615916,1.4204340088117053,2.939785284970865,0.16657440916366975,2.7732108758071954,0.08759481135810271,0.19537229054379474,0.07897959780556704,0.09290709290709291
gpt-4o-mini,base,28,all_states,20,1.3952013181120935,0.9878716544144985,2.383072972526592,0.03881279982615155,2.3442601727004404,0.05273914757382003,0.1452354175625261,-0.013926347747668481,0.5094905094905094
gpt-4o-mini,base,28,active_only,20,1.3952013181120935,0.9878716544144985,2.383072972526592,0.03881279982615155,2.3442601727004404,0.04986799696886912,0.13606913213397492,-0.01105519714271757,0.46553446553446554
gpt-4o-mini,base,29,all_states,20,1.1776040482482764,1.3998377455416056,2.577441793789882,0.009834772466883284,2.5676070213229987,0.04875961142802599,0.13857326213714455,-0.03892483896114271,0.8691308691308691
gpt-4o-mini,base,29,active_only,20,1.1776040482482764,1.3998377455416056,2.577441793789882,0.009834772466883284,2.5676070213229987,0.04886322466281892,0.1338749741062681,-0.039028452195935634,0.8671328671328671
gpt-4o-mini,base,30,all_states,20,1.5711478099130134,1.3266757215155276,2.897823531428541,0.045786239279230145,2.8520372921493107,0.06386258627377656,0.13863567968102244,-0.01807634699454641,0.6243756243756243
gpt-4o-mini,base,30,active_only,20,1.5711478099130134,1.3266757215155276,2.897823531428541,0.045786239279230145,2.8520372921493107,0.06366887630258262,0.1418120293208749,-0.01788263702335248,0.6183816183816184
gpt-4o-mini,switch,1,all_states,20,0.0002088376840869657,0.0025752490328991274,0.002784086716986093,2.1419246460754574e-12,0.0027840867148441685,7.947295623722574e-12,1.9827069166271125e-11,-5.8053709776471166e-12,0.951048951048951
gpt-4o-mini,switch,1,active_only,20,0.0002088376840869657,0.0025752490328991274,0.002784086716986093,2.1419246460754574e-12,0.0027840867148441685,8.262783680446951e-12,2.239204182551843e-11,-6.120859034371494e-12,0.949050949050949
gpt-4o-mini,switch,2,all_states,20,0.08779280111555288,0.00032546415859562597,0.0881182652741485,1.0615194597290762e-09,0.08811826421262904,3.908155967455075e-09,1.492055665173536e-08,-2.846636507725999e-09,0.6183816183816184
gpt-4o-mini,switch,2,active_only,20,0.08779280111555288,0.00032546415859562597,0.0881182652741485,1.0615194597290762e-09,0.08811826421262904,3.994165838983186e-09,1.4344294750205438e-08,-2.9326463792541095e-09,0.6503496503496503
gpt-4o-mini,switch,3,all_states,20,0.6727007109523288,0.8968283747933581,1.5695290857456867,0.001298735972881325,1.5682303497728054,0.015749682146457937,0.041420335052210794,-0.014450946173576612,0.913086913086913
gpt-4o-mini,switch,3,active_only,20,0.6727007109523288,0.8968283747933581,1.5695290857456867,0.001298735972881325,1.5682303497728054,0.015750621738997758,0.04159722682983537,-0.014451885766116434,0.9120879120879121
gpt-4o-mini,switch,4,all_states,20,0.41215614994265165,1.1769323618591097,1.5890885118017612,0.017563543382097976,1.5715249684196633,0.013730520185848,0.03165082526464029,0.003833023196249976,0.3116883116883117
gpt-4o-mini,switch,4,active_only,20,0.41215614994265165,1.1769323618591097,1.5890885118017612,0.017563543382097976,1.5715249684196633,0.014396181396995434,0.03392482192369238,0.0031673619851025417,0.32167832167832167
gpt-4o-mini,switch,5,all_states,20,0.9889973849265986,1.3819394393122808,2.3709368242388793,0.06411404081509896,2.3068227834237804,0.09591074127037354,0.19245358660858136,-0.03179670045527458,0.6953046953046953
gpt-4o-mini,switch,5,active_only,20,0.9889973849265986,1.3819394393122808,2.3709368242388793,0.06411404081509896,2.3068227834237804,0.10394105354113622,0.20504882568884042,-0.03982701272603727,0.7202797202797203
gpt-4o-mini,switch,6,all_states,20,1.4598799255956358,1.3104655221848545,2.7703454477804903,0.03587496776998209,2.734470480010508,0.06079247794714353,0.16967488517963406,-0.024917510177161435,0.5704295704295704
gpt-4o-mini,switch,6,active_only,20,1.4598799255956358,1.3104655221848545,2.7703454477804903,0.03587496776998209,2.734470480010508,0.06378360896625407,0.1888327708356157,-0.027908641196271976,0.5794205794205795
gpt-4o-mini,switch,7,all_states,20,1.1560283438528827,1.3620806263724667,2.5181089702253496,0.036715513128985994,2.4813934570963636,0.05011346602012049,0.10629228608562896,-0.013397952891134497,0.5864135864135864
gpt-4o-mini,switch,7,active_only,20,1.1560283438528827,1.3620806263724667,2.5181089702253496,0.036715513128985994,2.4813934570963636,0.05048249651537063,0.10937257855520832,-0.013766983386384636,0.5804195804195804
gpt-4o-mini,switch,8,all_states,20,1.1398964559797118,1.2054906855939886,2.3453871415737004,0.1563900271043748,2.1889971144693257,0.03594924209818134,0.13853541890052928,0.12044078500619346,0.029970029970029972
gpt-4o-mini,switch,8,active_only,20,1.1398964559797118,1.2054906855939886,2.3453871415737004,0.1563900271043748,2.1889971144693257,0.03646861766572282,0.140614254210747,0.11992140943865198,0.03196803196803197
gpt-4o-mini,switch,9,all_states,20,1.4951413591593503,1.182147742762188,2.6772891019215384,0.019458844202373125,2.6578302577191653,0.07046819572576403,0.1684047003086211,-0.05100935152339091,0.9090909090909091
gpt-4o-mini,switch,9,active_only,20,1.4951413591593503,1.182147742762188,2.6772891019215384,0.019458844202373125,2.6578302577191653,0.07120101281244964,0.16328800851790898,-0.05174216861007652,0.929070929070929
gpt-4o-mini,switch,10,all_states,20,1.590002664554706,1.4466450068715275,3.0366476714262336,0.04737296008912732,2.989274711337106,0.09883683483537348,0.19654991345404932,-0.051463874746246155,0.8881118881118881
gpt-4o-mini,switch,10,active_only,20,1.590002664554706,1.4466450068715275,3.0366476714262336,0.04737296008912732,2.989274711337106,0.10028259122426943,0.1978863023888252,-0.052909631135142104,0.9020979020979021
gpt-4o-mini,switch,11,all_states,20,1.8974553515834909,1.680623376155517,3.578078727739008,0.07245081688257869,3.505627910856429,0.19978234945350437,0.324438665385186,-0.12733153257092567,0.985014985014985
gpt-4o-mini,switch,11,active_only,19,1.6958509415447736,1.6929430530298994,3.388793994574673,0.06470744278704865,3.3240865517876244,0.16167272121491214,0.2786112455849083,-0.09696527842786348,0.97002997002997
gpt-4o-mini,switch,12,all_states,20,2.0316939075448093,1.7681734234061466,3.799867330950956,0.42008401151993113,3.3797833194310245,0.33358861541938556,0.5069359465577975,0.08649539610054557,0.1928071928071928
gpt-4o-mini,switch,12,active_only,16,1.546189393043769,1.51626372473255,3.062453117776319,0.13930067721724046,2.9231524405590785,0.1258372413460017,0.2805060945354385,0.013463435871238771,0.35064935064935066
gpt-4o-mini,switch,13,all_states,19,2.0349069552710963,2.0470514385729337,4.08195839384403,0.360104412065222,3.7218539817788074,0.3816511825505106,0.545659283304203,-0.021546770485288635,0.5644355644355644
